"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														159		115	0					28	16	0							
242														20		0	0					20	0	0							
279														5931		4806	0					88	1037	0							
354														95		21	10					4	60	0							
457														167		0	0					14	153	0							
505														9993		4690	922					46	4242	93							
1155														1910		1381	0					37	492	0							
1351														614		61	0					230	323	0							
1454														3738		3354	0					38	346	0							
1669														401		266	0					76	59	0							
1856														794		762	0					21	11	0							
2161														3654	0	1903	0	0	0	0	0	18	1733	0	1903	0	0				
2732														2743		606	0					238	1899	0							
2750														501		315	0					20	156	10							
3252														285		0	0					70	215	0							
3458														423		122	108					28	165	0							
3720														2434		12	0					28	2394	0							
3971														10157		6402	0					203	3552	0							
4156														652		405	12					90	145	0							
4231														549		0	0					114	435	0							
5069														7329		1341	0					245	4894	849							
5135														2694		1021	0					134	1539	0							
5210														14626		9858	0					375	4300	93							
5461														7346		6020	0					3	1141	182							
5751														1863		1467	0					18	378	0							
6039														1996	0	376	0	0	210	0	0	204	1416	0	0	0	0	DEBIT CARD SUSPENSE			
6329														12883		4108	0	871				212	8563	0	3126						
7009														10784		110	115					9	10550	0							
7045														1650	0	0	627	0	0	0	0	65	958	0	0	0	0				
7072														4818		3320	0					7	1491	0							
7456														407		106	0					28	273	0							
7634														215		6	0					42	167	0							
8033														5405		3634	0					637	1134	0							
8462														157		0	0					54	97	6							
8631														801		741	0					14	46	0							
9357														5278		3436	0					2	1840	0							
9553														1370		0	0					57	1313	0							
9807														13395		6021	0					1279	5357	738			5249				
9955														389		41	74					15	259	0							
10250														1809		655	0					87	1067	0							
10849														603		111	0					48	444	0							
11145														2874		1195	0		903	292		44	1635	0				Great Lakes Capital Fund	Differed Revenue		
11640														3393		1587	0					278	1528	0							
11837														468		197	0					14	257	0							
12030														3194		2721	0					116	357	0							
12142														6321		6201	0					99	21	0							
12311	3100856	0	2215266	196476	910694	0	0	0	589249	97989	0	0	0									1876									
12647														189		0	0					32	157	0							
12656														68		2	12					6	48	0							
12946														18834		11664	0					371	6799	0							
13103														48965		43679	0		37774			158	5102	26				Defined Benefit Retirement Plan Liability			
13251														382		377	0					5	0	0							
13457														216		195	8					3	10	0							
14155														1366		746	0					44	576	0							
14650														517		288	0					8	221	0							
14753														223		0	125					35	63	0							
14865														4327		2484	0					47	1771	25							
14977														132	0	14	0	12	0	0	0	10	108	0	0	0	0				
16551														894		147	0					145	602	0							
17110														7052	0	1306	0	0	708	0	0	24	5642	80	0	0	0	DEFERRED RENT LIABILITY			
17147														197078	0	67077	0	0	0	0	0	288	109213	20500	0	48109	0				
17259														1772		1545	0					19	208	0							
17950														3515		1294	1003					115	942	161							
