"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																					44	13	835		157				621					0		0	0	0				
242																					204	0	428		5				219					0		0	0	0				
279																					2034	432	9351		107				789					0		5989	0	0				
354																					20	0	189		119				50					0		0	0	0				
457																					464	0	1654		58				414					0		718	0	0				
505																					5175	478	16509		3665				1855					0		5336	0	0				
1155																					362	0	7835		310				1189					0		5974	0	0				
1351																					224	0	1882		140				1518					0		0	0	0				
1454																					1394	0	15424		2538				3530					0		7962	0	0				
1669																					209	747	16581		776				1596					0		12359	0	894				
1856																					284	0	2401		1837				280					0		0	0	0				
2161																				0	908	714	11482	178	734	0	0	556	1049	0	0	0	0	0	0	8077	0	0			Investment / Partnership	
2732																					1014	1019	4909		1096				1780					0		0	0	0				
2750																					204	0	2882		144				828					0		1706	0	0				
3252																					626	0	4906		880				3400					0		0	0	0				
3458																					400	0	2161		118				604					0		1039	0	0				
3720																					283	522	11582		365				937					0		6644	0	2831				
3971																					4345	1772	26709		2982				2737					0		14873	0	0				
4156																					426	0	8043		220				1011					0		5307	0	1079				
4231																					0	3	648		217				428					0		0	0	0				
5069																					0	514	8039		6124				1401					0		0	0	0				
5135																					1143	1124	16300		1039				6166					0		6828	0	0				
5210																					2368	6240	89236		10415				5746					0		58059	0	6408				
5461																					3246	0	17110		2287				2426					0		9151	0	0				
5751																					339	30	7250		246				1310					0		3454	360	1511				
6039																				0	222	731	6227	512	1514	568	430	0	1732	0	0	0	0	0	0	2028	0	0	ANNUITY ASSET	MISC OTHER ASSETS		
6329																				735	767	3856	33707	7726	10120				4699		217			0		11459	0	2806				
7009																					0	140	7626		5887				1599					0		0	0	0				
7045																				0	759	0	2323	317	554	0	0	0	1010	0	0	0	0	0	0	0	0	0				
7072																					3335	1675	16392		4355				1372					0		5655	0	0				
7456																					471	0	3764		150				1402					0		1741	0	0				
7634																					78	0	709		226				405					0		0	0	0				
8033																					1530	738	6427		299				2225					0		1635	0	0				
8462																					21	0	662		4				637					0		0	0	0				
8631																					331	126	3291		82				210					0		2542	0	0				
9357																					1033	0	5012		2226				1753					0		0	0	0				
9553																					2803	0	9668		295				2706					0		2877	0	987				
9807																					5826	0	154206	604	1104				5771					0		37165	104340	0				
9955																					2609	50	3741		98				984					0		0	0	0				
10250																					2574	0	5347		754				1674					0		345	0	0				
10849																					602	392	2794		484				1316					0		0	0	0				
11145																					1350	567	12631	1046	2708		1662		1027					0		4276	0	2703	Brownfield	Great Lakes Capital Fund		
11640																					2358	893	19285		2185				2944					0		10905	0	0				
11837																					68	211	765		116				370					0		0	0	0				
12030																					11396	1994	18788		1579				2506					0		1313	0	0				
12142																					708	1135	9698		863				1422					0		2916	0	2654				
12311	0	562889	18481	5939785	0	2249299	642255	0	0	415430	0	0	0	0	0	0	722498	884845	1086343		562889																		~Income Tax Receivable			
12647																					2015	0	2849		140				694					0		0	0	0				
12656																					14	0	162		50				98					0		0	0	0				
12946																					9177	3630	40925		2561				8843					0		3840	12874	0				
13103																					2376	3771	36168		11155				5994	2804				0		12872	0	0				
13251																					464	0	1379		85				311					0		519	0	0				
13457																					0	0	1224		0				339					0		885	0	0				
14155																					565	0	8231		323				2375					0		4968	0	0				
14650																					61	258	2200		72				223					0		1586	0	0				
14753																					182	0	731		75				474					0		0	0	0				
14865																					1009	1017	17232		1573				5577					0		5315	0	2741				
14977																				0	214	100	953	58	58	0	0	0	581	0	0	0	0	0	0	0	0	0				
16551																					1296	0	8140		442				1394					0		5008	0	0				
17110																				0	219	0	3987	0	3720	2011	0	0	48	0	0	0	0	0	0	0	0	0	INVESTMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																				0	28740	35966	518875	0	109994	0	0	0	53067	47630	0	0	0	0	0	172684	98294	20130				
17259																					266	0	2667		95				270					0		2036	0	0				
17950																					1937	0	7696		548				4940					0		0	0	271				
17978																					3343	0	4580		456				781					0		0	0	0				
