"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37			962	0	3	0	961	2	0																						
242			175	0	18	0	157	0	0																						
279			1562	2	12	0	1561	13	0																						
354			171	0	2	0	169	0	0																						
457			674	0	3	0	681	10	0																						
505			7565	213	0	0	7375	23	0																						
1155			4190	51	99	0	4044	4	0																						
1351			1369	75	45	0	1250	1	0																						
1454			4729	0	18	0	4724	13	0																						
1669			3658	131	20	0	3565	58	0																						
1856			296	2	0	0	294	0	0																						
2161			2124	0	2	0	2122	0	0			0	0																		
2732			5034	0	6	0	5042	14	0																						
2750			506	65	0	0	441	0	0																						
3252			4136	150	135	0	4482	631	0																						
3458			518	40	1	0	478	1	0																						
3720			1702	-1	3	0	1700	0	0																						
3971			7302	301	21	0	7022	42	0																						
4156			2743	0	138	0	2605	0	0																						
4231			712	0	4	0	721	13	0																						
5069			7988	0	0	0	7988	0	0																						
5135			4770	150	67	0	4692	139	0																						
5210			20237	50	16	0	20226	55	0																						
5461			6704	0	13	0	6692	1	0																						
5751			2410	0	1	0	2422	13	0																						
6039			3832	88	4	0	3746	6	0			0	0																		
6329			17004	2400	366	0	15831	1593	0				0																		
7009			0	0	0	0	0	0	0																						
7045			1099	75	3	0	1097	76	0			0	0																		
7072			2999	75	39	0	2904	19	0																						
7456			887	0	0	0	887	0	0																						
7634			1175	0	17	0	1218	60	0																						
8033			1810	212	17	0	1803	222	0																						
8462			2009	60	1	0	1951	3	0																						
8631			402	0	0	0	402	0	0																						
9357			4914	0	68	0	4846	0	0																						
9553			1212	0	1	0	1211	0	0																						
9807			31217	0	94	0	31123	0	0				0																		
9955			1730	-100	2	0	1828	0	0																						
10250			5287	165	27	0	5126	31	0																						
10849			2349	138	0	0	2211	0	0																						
11145			2849	64	22	0	2776	13	0				0																		
11640			2958	0	10	0	2995	47	0																						
11837			924	0	0	0	924	0	0																						
12030			11468	0	1814	0	10167	513	0																						
12142			1678	30	27	0	1652	31	0																						
12311	0		1702885	-47108	30854	0	1814252	95113	0	0	4643			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13124	0	
12647			1072	0	1	0	1073	2	0																						
12656			193	1	0	0	192	0	0																						
12946			23807	1200	287	0	22861	541	0																						
13103			19025	177	9	0	18907	68	0				0																		
13251			613	15	5	0	593	0	0																						
13457			96	0	0	0	96	0	0																						
14155			3613	75	63	0	3519	44	0																						
14650			922	25	7	0	894	4	0																						
14753			530	0	0	0	530	0	0																						
14865			5141	120	8	0	5013	0	0																						
14977			609	15	0	0	594	0	0			0	0																		
16551			3912	150	7	0	3756	1	0																						
17110			279	0	0	0	279	0	0			0	0																		
17147		0	201082	0	694	0	130648	4315	74055			0		0	0	0	245	0	245	0	0	0	0	0	0	0	0	0	0	970	
17259			177	0	1	0	178	2	0																						
17950			5437	75	8	0	5364	10	0																						
17978			1440	0	0	0	1440	0	0																						
18050			6944	450	35	0	6498	39	0																						
18827			12003	595	47	0	11392	31	0																						
18836			1652	3	29	0	1707	87	0																						
18854			10864	1275	0	0	9639	50	0				0																		
19356			874	0	1	0	874	1	0																						
19936			4454	0	8	0	4503	57	0																						
19972			397	0	0	0	400	3	0																						
20053			1491	60	1	0	1430	0	0																						
20633			3116	225	0	0	3056	165	0																						
20857			1003	0	0	0	1004	1	0																						
21256			67	0	1	0	66	0	0																						
21359			423	6	0	0	417	0	0																						
21658			2186	45	5	0	2139	3	0				0																		
22048			2556	90	7	0	2470	11	0																						
22543			2071	200	6	0	1867	2	0																						
22552			905	60	0	0	1082	237	0																						
22730			1512	55	31	0	1470	44	0																						
23456			2122	90	0	0	2037	5	0																						
23504		0	98200	15779	0	0	41462	4275	45234			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23643			1036	60	11	0	1075	110	0																						
23755			2250	160	4	0	2138	52	0																						
24006			7865	-894	116	0	8677	34	0																						
24378			185	0	1	0	184	0	0																						
24453			5561	0	74	0	5699	212	0																						
24659			621	0	4	0	617	0	0																						
24668			23799	2800	95	0	21061	157	0																						
24949			7243	0	46	0	7207	10	0																						
25357			5295	300	21	0	5015	41	0																						
25647			2873	300	0	0	2573	0	0				0																		
26176			3215	0	0	0	3215	0	0																						
26457			224	1	0	0	223	0	0																						
26765			28116	2044	132	0	26029	89	0																						
27070			4608	225	0	0	4385	2	0																						
27548			11116	500	434	0	10764	582	0																						
27614			1472	0	8	0	1471	7	0																						
27847			7062	596	52	0	6567	153	0																						
28013		0	43197	-2374	44	0	37606	2432	10353					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28152			1448	0	0	0	1448	0	0				0																		
28675			800	0	0	0	800	0	0				0																		
28732			1147	30	1	0	1116	0	0																						
29476			1370	64	0	0	1306	0	0																						
29636			4772	87	47	0	4735	97	0																						
29878			17834	-189	0	0	18036	13	0				0																		
30052			372	0	0	0	372	0	0																						
30502			9445	0	55	0	9455	65	0																						
30650			1127	0	0	0	1127	0	0																						
30810	0		7346630	-342526	210546	0	8225760	747150	0	0	165000			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-22400	1749000	
31134			1379	60	20	0	1300	1	0				0																		
31255			7379	0	27	0	7353	1	0			0	0																		
31657			962	3	1	0	958	0	0																						
31826			3060	20	6	0	3043	9	0				0																		
31835			1323	90	12	0	1301	80	0																						
32234			126	6	5	0	119	4	0																						
