"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																					43	67	801		159				532					0		0	0	0				
242																					199	0	434		15				220					0		0	0	0				
279																					2027	256	9055		95				742					0		5935	0	0				
354																					0	53	139		37				49					0		0	0	0				
457																					496	0	1539		61				274					0		708	0	0				
505																					5575	0	16592		3892				1856					0		5269	0	0				
1155																					360	0	8004		427				1318					0		5899	0	0				
1351																					224	0	2112		190				1698					0		0	0	0				
1454																					1211	0	14687		2226				3393					0		7857	0	0				
1669																					188	225	15652		695				1464					0		12188	0	892				
1856																					1686	0	2566		679				201					0		0	0	0				
2161																				0	583	844	9175	104	652	536	0	0	1119	0	0	0	0	0	0	5977	0	0	Investment / Partnerships			
2732																					926	966	4270		551				1827					0		0	0	0				
2750																					203	0	2865		215				762					0		1685	0	0				
3252																					672	0	3603		723				2208					0		0	0	0				
3458																					401	0	1629		148				554					0		526	0	0				
3720																					283	610	11455		325				907					0		6524	0	2806				
3971																					5396	2072	28597		3762				2679					0		14688	0	0				
4156																					597	0	8458		353				1197					0		5241	0	1070				
4231																					0	3	668		209				456					0		0	0	0				
5069																					0	545	6571		4786				1240					0		0	0	0				
5135																					1069	1123	13935		843				4173					0		6727	0	0				
5210																					2799	7087	90004		9612				6767					0		57378	0	6361				
5461																					3006	0	16801		2180				2574					0		9041	0	0				
5751																					261	51	6359		251				537					0		3403	357	1499				
6039																				0	222	564	5699	338	1284	565	350	0	1625	0	0	0	0	0	0	2004	0	0	ANNUITY ASSET	MISC OTHER ASSETS		
6329																				686	1002	3631	23361	1146	2797				4409		266			0		8735	0	2787				
7009																					0	104	9532		7938				1490					0		0	0	0				
7045																				0	759	0	2150	274	399	0	0	0	992	0	0	0	0	0	0	0	0	0				
7072																					3686	1397	16515		4375				1463					0		5594	0	0				
7456																					470	0	3724		302				1234					0		1718	0	0				
7634																					103	0	805		285				417					0		0	0	0				
8033																					1527	672	6041		260				1987					0		1595	0	0				
8462																					21	0	727		3				703					0		0	0	0				
8631																					336	123	3274		73				232					0		2510	0	0				
9357																					1033	0	4390		1064				2293					0		0	0	0				
9553																					2737	0	8369		436				1379					0		2842	0	975				
9807																					5631	0	158931	582	6506	5065			7240					0		36740	102814	0	Security Principal Receivable			
9955																					2831	49	3784		82				822					0		0	0	0				
10250																					2175	0	4903		525				1862					0		341	0	0				
10849																					733	736	3344		590				1285					0		0	0	0				
11145																					1350	663	10906	1067	2729		1662		861					0		2622	0	2681	Brownfield	Great Lakes Capital Fund		
11640																					2358	1029	18744		1968				2399					0		10990	0	0				
11837																					67	287	801		59				388					0		0	0	0				
12030																					10152	1988	16876		1256				2167					0		1313	0	0				
12142																					708	1432	9829		619				1558					0		2886	0	2626				
12311		351828	27262	4512042		1249363				364680					0		586711	867511	1064687																							
12647																					2015	0	2814		168				631					0		0	0	0				
12656																					14	9	154		30				101					0		0	0	0				
12946																					8838	4096	41473		2460				9718					0		3569	12792	0				
13103																					4696	4397	39807		11631				6450	3068				0		12633	0	0				
13251																					391	0	1233		133				212					0		497	0	0				
13457																					0	1	1040		0				167					0		872	0	0				
14155																					661	0	8209		297				2353					0		4898	0	0				
14650																					55	258	2182		76				223					0		1570	0	0				
14753																					182	0	617		38				397					0		0	0	0				
14865																					994	1697	16829		1662				4524					0		6143	0	1809				
14977																				0	214	90	711	53	57	0	0	0	350	0	0	4	0	0	0	0	0	0				
16551																					1268	0	8036		381				1432					0		4955	0	0				
17110																				0	219	0	3799	0	3542	1845	0	0	38	0	0	0	0	0	0	0	0	0	INVETSMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																				0	28740	39430	512203	21802	96511	0	0	0	54650	48576	0	0	0	0	0	174427	98492	19953				
17259																					265	0	2703		141				285					0		2012	0	0				
17950																					1926	0	6826		650				4033					0		0	0	217				
17978																					3355	0	4563		345				863					0		0	0	0				
18050																					953	0	10381		2046				2340					0		5042	0	0				
18827																					7071	2093	56565		10096				6603					0		14549	0	16153				
18836																					539	581	6976		1193				488					0		4175	0	0				
18854																					1187	0	7848	695	3134	2278			3527					0		0	0	0	Deferred Tax Asset			
19356																					499	0	3873		144				413					0		2817	0	0				
19936																					537	546	8954		518				1088					0		6265	0	0				
19972																					33	334	5993		101				265					0		5260	0	0				
20053																					193	266	2580		81				804					0		1236	0	0				
20633																					919	1820	13541		2123				797					0		7882	0	0				
20857																					528	0	1939		398				1013					0		0	0	0				
21256																					56	0	433		11				17					0		349	0	0				
21359																					316	0	1191		131				576					0		168	0	0				
21658																					36	168	4854	217	243				829					0		3001	0	577				
22048																					1124	0	9453		1789				918					0		5622	0	0				
22543																					900	0	2890		1246				744					0		0	0	0				
22552																					646	0	1559		120				793					0		0	0	0				
22730																					448	0	5075		209				1011					0		3407	0	0				
23456																					682	0	2386		493				1211					0		0	0	0				
23504																				0	45063	27343	462953	17068	87926	0	0	0	51100	45760	0	0	0	0	0	199410	33839	18272				
23643																					1255	0	7145		348				884					0		1998	0	2660				
23755																					411	0	6415		685				886					0		4433	0	0				
24006																					5886	3123	45266		4168				6689					0		21786	0	3614				
24378																					468	151	1237		459				159					0		0	0	0				
24453																					1417	1327	4179		538				897					0		0	0	0				
24659																					58	0	694		0				636					0		0	0	0				
24668																					5872	650	13551		2275				4754					0		0	0	0				
24949																					1581	2562	16244		463				1512					0		10126	0	0				
25357																					3579	0	9316		1092				4645					0		0	0	0				
25647																					1440	686	4091		262				1703					0		0	0	0				
26176																					3431	4895	13291		693				1115					0		0	0	3157				
26457																					0	15	562		258				289					0		0	0	0				
26765																					9315	0	89776		7549				5311					0		47704	0	19897				
27070																					1916	0	21640		1311				2327					0		16086	0	0				
27548																					2343	0	25237		8008				3673					0		11213	0	0				
27614																					1826	0	13490		1189				2156					0		8319	0	0				
27847																					2195	0	23999		1354				4079					0		11882	0	4489				
28013																					28708	22286	233402		4884	2409			14753					0		99547	0	63224	non post credits demand accts	items in transit		
28152																					596	0	5155	165	864				740	698				0		2955	0	0				
28675																					1484	0	2192	159	201				507					0		0	0	0				
28732																					262	392	2054		100				285					0		1015	0	0				
29476																					618	0	3440		290				726					0		1806	0	0				
29636																					2100	5759	43563		4069				5665					0		18948	909	6113				
29878																					2823	11579	26602	1066	6768	80	3558	2064	5432					0		0	0	0	Seat License	Additional Minimum Liabilty Pension	Debit Escrow	
30052																					119	0	313		97				97					0		0	0	0				
30502																					922	0	9268		5549				2797					0		0	0	0				
30650																					405	0	861		106				350					0		0	0	0				
30810		9681	1670444	2701031	31334	54158				966748					0		0	0	0																							
31134																					147	0	2357	521	531				878					0		801	0	0				
31255																				0	2865	0	19617	1459	2276	0	0	0	2824	0	0	0	0	0	0	9659	0	1993				
31657																					373	0	5030		83				671					0		0	0	3903				
31826																					627	615	8845	346	1840				968					0		4795	0	0				
31835																					1914	1467	17253		724				848					0		12300	0	0				
32234																					1927	1263	6727		2347				1190					0		0	0	0				
32766																					45	0	535		116				374					0		0	0	0				
32971																					1355	514	14146		2579				994					0		8417	0	287				
33147																					534	0	6577		890				1860					0		2563	0	730				
33259																					1117	1342	7873		2859				2555					0		0	0	0				
33268																					0	0	4202		157				834					0		3211	0	0				
33370																					463	240	797		0				94					0		0	0	0				
33839																					61	0	274		27				186					0		0	0	0				
33857																					5532	0	12232	2212	2287				4413					0		0	0	0				
34434																					1031	0	5009		700				1054					0		2224	0	0				
34537																					32185	23784	252563		39734	11583			24225	11305		10376		0		125131	0	7504	Deferred Comp Directors			
34555																				7	4415	0	14757	832	1027	0	0	0	2126	0	175	1	0	0	0	7189	0	0				
34742																					2746	408	16737		1665				978					0		10940	0	0				
35057																				0	880	0	4225	134	489	133	0	0	696	0	0	0	0	0	0	1434	0	726	Other Assets			
35301	0	419000	185000	36625000	0	32136000	19551000	0	0	384000	0	0	0	0	0	0	603000	2898000	0		416000																		Collateral deposits, net			
35570																				0	177351	101859	689093	0	104042	0	56115	0	80642	0	0	0	0	0	0	204574	0	20625		Collateral posted for derivative contracts		
35646																					1384	0	3706		56				261					0		2005	0	0				
35879																					1076	505	9316		311				659					0		6765	0	0				
36456																					286	168	3204		401				1468					0		881	0	0				
36933																					242	0	2301		662				812					0		585	0	0				
37051																					173	0	1329		195				402					0		559	0	0				
37341																					491	0	1879		54				220					0		1114	0	0				
37435																					966	0	7233		2637				3630					0		0	0	0				
37640																				0	13048	407	117765	0	23758	6295	0	0	13348	0	0	0	0	0	0	39135	0	28069	Investment in Affordable Housing			
37659																				4	44	0	1382	9	120	0	0	0	290	0	0	0	0	0	0	928	0	0				
37949																					336	0	8163		83				1195					0		6549	0	0				
38740																					968	339	7481		350				837					0		4987	0	0				
39327																					355	0	18161		2191				2123					0		13079	413	0				
39756																					718	0	17259	1430	1962				3621					0		7296	0	3662	0			
40033																					309	0	3904		752				201					0		890	0	1752				
40499																					8982	9537	163274		43045	13850			11426					0		82805	1841	5638	DEFERRED COMPENSATION PLAN			
40855																					813	0	1583		68				702					0		0	0	0				
41553																					343	0	2682		3				582					0		1754	0	0				
41629																					654	418	4864		2516				833					0		443	0	0				
41825																					462	3014	14863		3173				1955					0		4366	0	1893				
41955																					203	0	708		226				279					0		0	0	0				
42037																					0	116	2893		66				495					0		1953	0	263				
