"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														96		71	0					25	0	0							
242														16		0	0					16	0	0							
279														2315		1663	0					65	587	0							
354														132		29	0					5	98	0							
457														92		0	0					14	78	0							
505														8624		3508	700					36	4287	93							
1155														2227		1368	0					51	808	0							
1351														420		60	0					204	156	0							
1454														3129		2990	0					35	104	0							
1669														536		447	0					71	18	0							
1856														55		30	0					13	12	0							
2161														6741	0	5755	0	0	2242	0	0	58	928	0	1901	0	1612	SBA PPP overpayment held for return			
2732														3976		2686	0					151	1139	0							
2750														432		338	0					11	73	10							
3252														137		0	0					65	72	0							
3458														216		25	0					25	166	0							
3720														2394		11	0					31	2352	0							
3971														8186		5538	0					168	2480	0							
4156														655		499	0					78	78	0							
4231														215		0	0					94	121	0							
5069														4835		1418	0					281	2421	715							
5135														1969		1673	0					116	180	0							
5210														14564		10115	0					71	4286	92							
5461														7054		5756	0					2	1114	182							
5751														1788		1568	0					18	202	0							
6039														1914	0	551	0	0	247	157	0	182	1181	0	0	0	0	DEBIT CARD SUSPENSE	REFUNDABLE PREPAYMENTS		
6329														8225		3920	0	559				165	4140	0	3294						
7009														6584		416	104					15	6049	0							
7045														881	0	0	0	0	0	0	0	56	825	0	0	0	0				
7072														5077		3590	0					1	1486	0							
7456														230		123	0					23	84	0							
7634														165		4	0					42	119	0							
8033														5139		3871	0					514	754	0							
8462														106		0	33					55	0	18							
8631														867		761	0					13	93	0							
9357														4319		3193	0					2	1124	0							
9553														1226		0	0					49	1177	0							
9807														11901		5897	0					439	4827	738			5061	0	0		
9955														241		0	61					12	168	0							
10250														1302		837	0					60	405	0							
10849														549		59	0					48	442	0							
11145														2677		759	0		632	127		32	1886	0				Great Lakes Capital Fund	Differed Revenue		
11640														2780		1588	0					187	1005	0							
11837														361		226	0					15	120	0							
12030														5336		4821	0					97	418	0							
12142														5047		4859	0					87	101	0							
12311	2647240	0	2204911	27948	1074759	0	0	0	321211	91509	0	0	0									1661									
12647														118		0	0					28	90	0							
12656														62		10	13					5	34	0							
12946														17605		12073	0					237	5295	0							
13103														51934		47392	0		32108	6000		153	4363	26				Defined Benefit Retirement Plan Liability	Other Accounts Payable - Due to Broker		
13251														155		151	0					4	0	0							
13457														209		190	0					2	17	0				Projected Split-dollar Life Insurance Payable			
14155														1082		745	0					33	304	0							
14650														550		304	0					8	238	0							
14753														41		0	0					28	13	0							
14865														3359		2882	0					41	411	25							
14977														108	0	12	0	12	0	0	0	9	87	0	0	0	0				
16551														540		143	0					138	259	0							
17110														10160	0	1033	0	0	724	0	0	28	9017	82	0	0	0	DEFERRED RENT LIABILITY			
17147														146839	0	56793	0	0	0	0	0	301	69245	20500	0	35061	0				
17259														1704		1511	0					13	180	0							
17950														2357		1378	0					83	735	161							
17978														469		166	161					2	140	0							
18050														3098		1472	0					118	1508	0							
18827														9796		5977	0					87	3717	15							
18836														2257		1130	0					50	1077	0							
18854														8387		5633	0		1091	1689		103	2651	0				Dividends Payable	Cashier's Checks		
19356														514		318	0					22	174	0							
19936														1839		1801	0					23	15	0							
19972														1097		1071	0					1	25	0							
20053														350		193	0					72	85	0							
20633														2742		1910	0					42	740	50							
20857														806		473	0					186	147	0							
21256														12		8	0					4	0	0							
21359														196		134	0					10	52	0							
21658														1385		1077	0					60	248	0	979						
22048														1576		1294	0					64	218	0							
22543														916		93	494					13	316	0							
22552														421		250	0					106	65	0							
22730														514		290	0					5	197	22							
23456														484		3	0					176	305	0							
23504														107258	0	78837	0	0	0	0	0	50	23557	4814	0	0	63600				
23643														212		71	0					100	41	0							
23755														1469		756	59					19	635	0							
24006														19328		12744	0					35	6549	0							
24378														374		248	0					1	125	0							
24659														514		395	0					13	106	0							
24668														17608		15024	0					282	2302	0							
24949														4381		3162	0					73	1146	0							
25357														479		57	0					65	357	0							
25647														3189		2506	0		958	718		132	551	0				Unearned SBA Fees	AP Loans		
26457														24		7	0					15	2	0							
26765														21671		10659	178					199	7649	2986							
27070														3312		1695	0					128	1489	0							
27548														6691		992	0					76	5623	0							
27614														2828		1680	0					77	1071	0							
27847														3281		2034	0					149	1098	0							
28013														42825		34926	0		13231			328	5440	2131	17877			federal tax			
28152														1526		1481	0	42				14	31	0	765	605					
28675														397		2	90					10	295	0							
28732														1169		993	0					47	129	0							
29476														439		263	0					34	142	0							
29636														12258		10127	0					199	1932	0							
29878														27714		27591	0	1755	57	5628		0	123	0	20151			Abandoned Property	Minimum Liability Pension		
30052														201		71	16					2	112	0							
30502														10442		7575	0					35	2687	145							
30650														326		4	148					42	132	0							
30810	3853386	0	870617	0	0	740654	0	0	2927878	12000	0	0	0									42891						Merchant Settlement			
31134														1346		1134	0	118	516	293		77	135	0				Index Liability Plan	Split Dollar Ins Liability		
31255														12193	0	7412	0	0	3129	1704	0	28	4753	0	0	0	2526	Purchase muni bond on Mar settles in Apr	Factored loans collected reserves		
31657														147		90	0					18	39	0							
31826														2916		2362	0					88	466	0	1441						
31835														6208		3415	0					82	2711	0							
32234														1329		314	0					76	939	0							
32766														993		0	527					4	437	25							
32971														3447		2786	0					27	634	0							
33147														824		165	0					116	543	0							
33259														3263		808	0					566	1889	0							
33268														345		290	0					21	34	0							
33370														132		132	0					0	0	0							
33839														104		20	79					5	0	0							
33857														2061		0	0					317	1744	0							
34434														1329		1094	0					113	122	0							
34537														112217		95560	0	29110				184	14036	2437			44605				
34555														2542	0	2340	0	0	0	0	0	201	0	0	2308	0	0				
34742														5487		2780	0					63	2644	0							
35057														331	0	28	0	0	14	0	0	28	275	0	0	0	0	USDA Reserve			
35301	18586000	0	16450000	59000	0	6703000	6587000	0	2058000	19000	0	0	0									0						Payables on Cash Collateral received	Payable for securities purchased		
35570														537390	0	404640	0	0	0	0	0	471	118047	14232	0	0	206697				
35646														430		368	0					38	24	0							
35879														821		294	0					134	393	0							
36456														397		213	0					22	162	0							
36933														1357		670	0					163	524	0							
37051														110		0	0					66	44	0							
37341														412		322	0					56	34	0							
37435														7889		2210	0					134	5545	0							
37640														72343	0	41946	0	21109	0	0	0	608	29789	0	0	0	0				
37659														807	0	784	0	0	0	0	0	6	17	0	784	0	0				
37949														288		17	0					31	240	0							
38740														1999		1355	0					39	605	0							
39327														5053		4167	0					26	860	0							
39756														4300		2793	0		2739			112	1395	0				ACCRUED SALARY CONTINUATION			
40033														570		543	0					3	24	0							
40499														99965		85057	0					81	10986	3841	40700		27945				
40855														325		0	0					124	201	0							
41553														443		0	0					7	436	0							
41629														796		83	0					49	664	0							
41825														6739		5323	0	2123				37	391	988			2260				
42037														177		0	0					12	165	0							
42354														202		0	0					26	176	0							
