"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																					45	895	1748		236				572					0		0	0	0				
242																					204	0	421		2				215					0		0	0	0				
279																					2040	1273	10391		130				904					0		6044	0	0				
354																					21	12	273		171				69					0		0	0	0				
457																					450	0	1574		76				321					0		727	0	0				
505																					5156	366	17548		4718				1901					0		5407	0	0				
1155																					981	0	9598		742				1825					0		6050	0	0				
1351																					238	0	1907		171				1498					0		0	0	0				
1454																					1394	0	15532		2437				3633					0		8068	0	0				
1669																					409	1656	18314		682				1850					0		12814	0	903				
1856																					285	0	681		146				250					0		0	0	0				
2161																				0	955	2417	13674	219	1014	0	0	537	1101	0	0	0	0	0	0	8187	0	0			Investment/ Partnership	
2732																					1014	1511	6746		2397				1824					0		0	0	0				
2750																					232	0	2952		249				744					0		1727	0	0				
3252																					621	0	4414		1153				2640					0		0	0	0				
3458																					376	144	2560		143				541					0		1356	0	0				
3720																					320	1600	12746		262				935					0		6774	0	2855				
3971																					4734	3555	30473		4318				2808					0		15058	0	0				
4156																					426	154	8462		435				986					0		5373	0	1088				
4231																					0	553	5250		192				469					0		4036	0	0				
5069																					0	540	7808		5974				1294					0		0	0	0				
5135																					1143	1316	13991		1192				3410					0		6930	0	0				
5210																					1855	11720	100318		15885				6270					0		58139	0	6449				
5461																					3246	0	17197		2158				2538					0		9255	0	0				
5751																					341	239	7966		317				1463					0		3724	363	1519				
6039																				0	222	891	6534	789	1602	561	0	0	1757	0	0	0	0	0	0	2062	0	0	ANNUITY ASSET			
6329																				844	720	5866	30553	1530	4437				4985		170			0		11721	0	2824				
7009																					0	252	7733		5858				1623					0		0	0	0				
7045																				0	669	2406	4433	248	308	0	0	0	1050	0	0	0	0	0	0	0	0	0				
7072																					2900	2046	19308		4306				1330					0		8726	0	0				
7456																					573	0	3939		251				1352					0		1763	0	0				
7634																					78	0	734		245				411					0		0	0	0				
8033																					1532	731	6150		390				1828					0		1669	0	0				
8462																					21	0	639		15				603					0		0	0	0				
8631																					331	185	3329		57				182					0		2574	0	0				
9357																					793	0	5281		2889				1599					0		0	0	0				
9553																					2978	0	8810		400				1521					0		2913	0	998				
9807																					5689	0	173743	931	20593	19286			6096					0		37593	103772	0	Security Principal Receivable			
9955																					2636	193	3685		78				778					0		0	0	0				
10250																					2848	0	5728		756				1774					0		350	0	0				
10849																					607	1102	3372		546				1117					0		0	0	0				
11145																					1350	2864	15311	1149	2648		1499		1394					0		4330	0	2725		Great Lakes Capital Fund		
11640																					2388	2792	20871		2031				2610					0		11050	0	0				
11837																					72	1102	1632		38				420					0		0	0	0				
12030																					11947	2074	18279		1015				1869					0		1374	0	0				
12142																					708	3886	12186		518				1447					0		2946	0	2681				
12311	0	982568	260028	6450572	0	2048927	0	0	0	475333	0	0	0	0	0	0	717834	882418	1083464		978210																					
12647																					2015	0	2936		185				736					0		0	0	0				
12656																					14	0	145		29				102					0		0	0	0				
12946																					8654	14886	54259		5024				8956					0		4281	12458	0				
13103																					2376	6422	40708		13317				5493	6602				0		13100	0	0				
13251																					549	0	1424		119				237					0		519	0	0				
13457																					0	145	1201		0				159					0		897	0	0				
14155																					543	0	8010		331				2097					0		5039	0	0				
14650																					61	258	2177		82				174					0		1602	0	0				
14753																					182	8	579		42				347					0		0	0	0				
14865																					1199	1874	21747		2539				4770					0		7720	1804	1841				
14977																				0	214	108	774	49	58	0	0	0	394	0	0	9	0	0	0	0	0	0				
16551																					1415	0	7651		310				1468					0		4458	0	0				
17110																				0	219	0	4661	0	4388	2448	0	0	54	0	0	0	0	0	0	0	0	0	INVESTMENT ADVISORY.TRUSTEE FEES RECEIVABLE			
17147																				0	26426	63382	556452	34363	119434	0	0	0	56068	34995	0	0	0	0	0	174104	96933	20105				
17259																					267	0	2661		78				258					0		2058	0	0				
17950																					2012	6337	13339		850				3839					0		0	0	301				
17978																					3343	0	4652		510				799					0		0	0	0				
