"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														136	0	115	0	0	0	0	0	21	0	0	0	0	0				
242														21	0	0	0	0	0	0	0	21	0	0	0	0	0				
279														2498	0	1694	0	80	0	0	0	58	746	0	188	0	444				
354														337	0	36	4	9	0	0	0	17	280	0	0	0	0				
457														118	0	0	0	0	0	0	0	13	105	0	0	0	0				
505														9106	0	4004	566	0	2081	0	0	30	4413	93	0	0	0	DEFERRED SERVICE FEE			
1155														2145	0	1361	0	0	0	0	0	46	738	0	1361	0	0				
1351														492	0	77	0	0	0	0	0	174	241	0	0	0	0				
1454														3483	0	3256	0	0	819	0	0	35	192	0	1923	0	0	DEBIT CARD SETTLEMENT			
1669														693	0	559	0	0	0	0	0	96	38	0	120	0	0				
1856														61	0	30	0	0	0	0	0	12	19	0	0	0	0				
2161														6798	0	5678	0	0	2242	0	0	18	1102	0	1854	0	1582	SBA PPP Overage			
2732														4303	451	2624	0	0	0	0	0	123	1556	0	0	0	2002				
2750														558	100	417	0	0	60	0	0	11	120	10	257	0	0	PYMT DUE TO LOAN PARTICIPATION BANK			
3252														227	0	5	0	0	0	0	0	71	151	0	0	0	0				
3458														141	0	21	0	0	0	0	0	20	100	0	0	0	0				
3720														2162	0	11	0	0	0	0	0	19	2132	0	0	0	0				
3971														7772	0	4681	0	51	2317	2213	0	212	2879	0	0	0	0	Unearned revenues	Deferred Compensation		
4156														501	0	274	0	0	0	0	0	78	149	0	0	0	0	Executive Deferred Incentive			
4231														232	0	0	0	0	0	0	0	103	129	0	0	0	0				
5069														6159	0	1481	0	1054	0	0	0	326	3812	540	0	0	0				
5135														2332	0	2174	0	1122	9	0	0	105	53	0	1042	0	0	FHLB Interest			
5210														15185	0	10265	0	0	3370	0	0	53	4775	92	3849	0	0	Deferred Director's Fees			
5461														7412	0	5868	0	0	0	0	0	1	1361	182	5272	0	0				
5751														1882	0	1541	0	0	783	0	0	25	316	0	705	0	0	Post Retirement Benefits Payable			
6039														2078	0	612	0	0	251	173	0	197	1269	0	0	0	0	DEBIT CARD SUSPENSE	OTHER LIABILITIES		
6329														10817		4357	0	790				158	6302	0	3379						
7009														7976	0	705	104	0	600	0	0	98	7069	0	0	0	0	Collateral Received on Interest Rate Swap Exposure			
7045														890	0	0	0	0	0	0	0	32	858	0	0	0	0				
7072														5180	0	3364	0	0	0	0	0	1	1815	0	2644	0	0				
7456														294	0	131	0	0	0	0	0	17	146	0	0	0	0				
7634														149	0	7	0	0	0	0	0	42	100	0	0	0	0				
8033														5040	0	3973	0	26	6	0	0	448	619	0	3941	0	0	All Other Liabilities			
8462														154	0	0	0	0	0	0	0	63	66	25	0	0	0				
8631														865	0	772	0	0	0	0	0	13	80	0	771	0	0				
9357														4699	0	3224	0	0	0	0	0	3	1472	0	2517	0	0				
9553														1335	0	0	0	0	0	0	0	44	1291	0	0	0	0				
9807														12086		6124	0					251	4973	738			5037	0	0		
9955														302	0	0	69	0	0	0	0	14	219	0	0	0	0				
10250														1645	0	863	0	0	0	0	0	68	714	0	804	0	0	SBA PPP Fee Incom			
10849														446	0	87	0	71	0	0	0	43	316	0	0	0	0				
11145														3086		755	0		632	123		28	2303	0				Great Lakes Capital Fund	Differed Revenue		
11640														2854	0	1630	0	0	0	0	0	188	1036	0	1630	0	0				
11837														482	0	334	0	0	244	0	0	14	134	0	0	0	0	FEDERAL INCOME TAX PAYABLE			
12030														5300	0	5010	0	1897	2299	0	0	94	196	0	0	0	0	Deferred Gain on Sale of ORE per Gap			
12142														4887	0	4771	0	0	0	0	0	70	46	0	3988	0	0				
12311	2773277	0	2242928	38823	1153263	0	0	0	393669	93560	0	0	0									4297									
12647														133	0	0	0	0	0	0	0	26	107	0	0	0	0				
12656														25	0	0	17	0	0	0	0	6	2	0	0	0	0				
12946														23643	0	16906	0	0	0	0	0	246	6491	0	8697	0	0				
13103														50881		45924	0		33451			137	4800	20				Defined Benefit Retirement Plan Liability	Other Accounts Payable - Due to Broker		
13251														229	0	224	0	0	9	154	0	5	0	0	0	0	0	Deferred Gain on sale of ORE	Accrued Employee  B&P	Deferred PPP Income	
13457														204	0	190	0	0	0	0	0	2	12	0	0	0	0	Projected Split-dollar Life Insurance Payable			
14155														1206	0	754	0	0	203	0	0	26	426	0	536	0	0	Deferred Contract			
14650														613	0	309	0	0	0	0	0	6	298	0	289	0	0				
14753														70	0	0	0	0	0	0	0	23	47	0	0	0	0				
14865														4036	0	3076	0	0	0	0	0	55	880	25	1791	0	0				
14977														98	0	25	0	25	0	0	0	13	60	0	0	0	0				
16551														678	0	180	0	81	0	0	0	150	348	0	0	0	0	Deferred PPP Loan Fees			
17110														12295	0	948	0	0	731	0	0	71	11194	82	0	0	0	DEFERRED RENT LIABILITY			
17147														190463	0	89788	0	0	0	0	0	927	76448	23300	0	55738	0				
17259														1667	0	1496	0	0	0	0	0	13	158	0	1496	0	0				
17950														3443	0	1399	0	729	0	0	0	94	1789	161	670	0	0	ATM/EFT Settlement			
17978														237	0	63	161	1	62	0	0	3	10	0	0	0	0	Other Taxes Payable			
18050														3513	0	1763	0	178	0	0	0	115	1635	0	1548	0	0				
18827														12335	0	8834	0	0	6216	0	0	102	3384	15	0	0	2565	NET DERIVATIVE LIABILITY			
18836														2309	0	1079	0	0	0	0	0	44	1186	0	911	0	0				
18854														9861		7305	0		1091	2826		102	2454	0				Dividends Payable	Cashier's Checks		
19356														544	0	348	0	0	0	0	0	46	150	0	282	0	0				
19936														2016	0	1957	0	0	0	0	0	47	12	0	1418	0	0				
19972														1123	0	1070	0	0	1043	0	0	1	52	0	0	0	0	Accrued Expense Life Insurance			
20053														344	0	193	0	0	193	0	0	53	98	0	0	0	0	Unrealized interest AR			
20633														3510	0	3006	0	0	1263	0	0	41	423	40	1441	0	0	FEDERATED CLEARING ACCOUNT			
20857														852	0	498	0	115	0	0	0	181	173	0	383	0	0				
21256														9	0	8	0	0	0	0	0	1	0	0	0	0	0				
21359														220	0	145	0	145	0	0	0	10	65	0	0	0	0				
21658														1461		1116	0					60	285	0	971						
22048														1802	0	1337	0	11	0	0	0	74	391	0	1321	0	0				
22543														1088	0	214	427	0	121	0	0	13	434	0	0	0	0	Mortgage servicing liability			
22552														359	0	250	0	0	250	0	0	100	9	0	0	0	0	ag bmp			
22730														895	0	518	0	388	0	0	0	5	350	22	0	0	0				
23456														623	0	6	0	0	6	0	0	143	474	0	0	0	0	Fed Withholding			
23504														113276	0	75146	0	0	0	0	0	254	33549	4327	0	0	61850				
23643														280	0	141	0	0	0	0	0	90	49	0	0	0	0				
23755														1416	0	776	0	0	0	0	0	20	620	0	0	0	0	SBA Deferred Revenue			
24006														16541	0	9387	0	0	0	0	0	14	7140	0	0	0	8827				
24378														465	0	336	0	0	0	0	0	1	128	0	0	0	0				
24659														553	105	395	0	0	290	0	0	13	145	0	0	0	0	AGBMP			
24668														17056	0	15738	0	0	2131	0	0	290	1028	0	0	0	11380	Escrow Mtg Loans			
24949														4223	0	3097	0	0	0	0	0	67	1059	0	3097	0	0				
25357														459	0	0	0	0	0	0	0	84	375	0	0	0	0				
25647														2416		1951	0		559	301		109	356	0				Unearned SBA Fees	AP Loans		
26457														38		3	0					14	21	0							
26765														29612	0	17443	26	7327	0	0	0	232	8925	2986	0	0	9574				
