"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	68	0	698	0	137	0	0	0	493	0	0	0	0	0	0	0	0	0				
242																				0	199	0	446	0	9	0	0	0	238	0	0	0	0	0	0	0	0	0				
279																				0	2024	247	9269	119	119	0	0	0	971	0	0	0	0	0	0	5908	0	0				
354																				0	0	0	182	0	126	0	0	0	56	0	0	0	0	0	0	0	0	0				
457																				0	485	0	1570	0	53	0	0	0	329	0	0	0	0	0	0	703	0	0				
505																				0	5548	0	16368	962	3768	1043	0	0	1816	0	0	0	0	0	0	5236	0	0	Prepaid NYSBA Retirement			
1155																				15	360	0	7658	60	142	0	0	0	1295	0	0	0	0	0	0	5861	0	0				
1351																				0	207	0	1945	188	230	0	0	0	1508	0	0	0	0	0	0	0	0	0				
1454																				0	1211	0	13802	1047	1872	757	0	0	2913	0	0	0	0	0	0	7806	0	0	PROCESSING DEPOSIT			
1669																				9	188	510	14631	680	702	0	0	0	1659	0	0	0	0	0	0	10683	0	889				
1856																				0	1675	0	2649	184	724	445	0	0	250	0	0	0	0	0	0	0	0	0	Acct Recv Pridex			
2161																				0	583	635	7526	135	949	125	138	536	1407	0	0	0	0	0	0	3952	0	0	Deferred Payroll	Accrued Late Charges	Investment / Partnerships	
2732																				0	926	876	4145	0	710	493	0	0	1633	0	0	0	0	0	0	0	0	0	Fed Inc Tax Current Rec			
2750																				0	203	0	2711	69	69	0	0	0	764	0	0	0	0	0	0	1675	0	0				
3252																				377	673	0	7413	567	4385	3437	0	0	2355	0	0	0	0	0	0	0	0	0	NP DDA			
3458																				0	387	0	1601	0	164	0	0	0	528	0	0	0	0	0	0	522	0	0				
3720																				0	376	312	11289	327	345	0	0	0	961	0	0	0	0	0	0	6501	0	2794				
3971																				0	5299	1274	26581	611	2389	739	853	0	3024	0	0	0	0	0	0	14595	0	0	Total A/R from Holding Co or affiliate	Total other Misc Non- Interest Bearing A/R		
4156																				0	595	0	8334	0	256	0	0	0	1209	0	0	0	0	0	0	5208	0	1066				
4231																				0	0	5	673	0	174	0	0	0	494	0	0	0	0	0	0	0	0	0				
5069																				0	0	523	6351	1722	4520	0	0	0	1308	0	0	2798	0	0	0	0	0	0				
5135																				76	1371	1108	15717	432	727	150	0	0	5835	0	0	0	0	0	0	6676	0	0	ATM Settlement Account			
5210																				0	2942	5006	87633	0	9334	5925	0	0	6950	0	0	0	0	0	0	57062	0	6339	Prepaid Pension			
5461																				0	3006	0	17050	802	1871	530	0	0	3195	0	0	0	0	0	0	8978	0	0	CRA Investment			
5751																				0	261	18	6580	0	233	106	0	0	1077	0	0	0	0	0	0	3139	356	1496	Receivable from Bond Security			
6039																				0	309	535	3395	239	859	571	0	0	1692	0	0	0	0	0	0	0	0	0	ANNUITY ASSET			
6329																				352	1001	3165	23734	1481	3297				4805		186			0		8688	0	2778				
7009																				0	0	90	9358	3639	7460	0	0	0	1808	0	0	3608	0	0	0	0	0	0				
7045																				0	759	0	2502	295	578	0	0	0	1165	0	0	0	0	0	0	0	0	0				
7072																				0	3853	1521	16828	432	4378	2915	419	0	1512	0	0	0	0	0	0	5564	0	0	Deferred Compensation	Deferred Commissions		
7456																				0	470	0	3743	0	404	305	0	0	1163	0	0	0	0	0	0	1706	0	0	Health Insurance			
7634																				0	103	0	870	194	303	106	0	0	464	0	0	0	0	0	0	0	0	0	Late fees receivable			
8033																				0	1526	635	6125	89	205	85	0	0	2184	0	31	0	0	0	0	1575	0	0	All Other Assets			
8462																				0	21	0	867	0	3	0	0	0	843	0	0	0	0	0	0	0	0	0				
8631																				0	336	121	3253	77	77	0	0	0	225	0	0	0	0	0	0	2494	0	0				
9357																				0	642	0	3762	576	790	0	0	0	2330	0	0	0	0	0	0	0	0	0				
9553																				0	2706	0	9777	364	552	188	0	0	2726	0	0	0	0	0	0	2824	0	969	Nebraska Fund XV Investment			
9807																					5575	0	162173	598	10793	10008			7371					0		36535	101899	0	Proceeds from Matured Treasury Security			
9955																				0	2820	39	3960	56	59	0	0	0	1042	0	0	0	0	0	0	0	0	0				
10250																				0	1726	0	4820	509	621	0	0	0	2135	0	49	0	0	0	0	338	0	0				
10849																				0	733	695	3225	110	456	0	0	0	1341	0	194	0	0	0	0	0	0	0				
11145																					1350	531	10579	1040	2702		1662		722					0		2604	0	2670	Brownfield	Great Lakes Capital Fund		
11640																				0	2358	518	18638	267	1919	0	0	0	2923	0	0	0	0	0	0	10920	0	0				
11837																				0	101	58	551	0	68	0	0	0	324	0	0	0	0	0	0	0	0	0				
12030																				0	9605	1986	17108	624	1390	761	0	0	2836	0	0	0	0	0	0	1291	0	0	Reclassified NSFs			
12142																				0	708	541	8817	409	701	0	0	0	1385	0	0	0	0	0	0	2871	0	2611				
12311		358981	27143	4568055		1315029				352382					0		585932	865008	1063580																							
12647																				0	2015	0	2877	0	180	0	0	0	682	0	0	0	0	0	0	0	0	0				
12656																				0	14	9	163	38	38	0	0	0	102	0	0	0	0	0	0	0	0	0				
12946																				0	8791	2581	40588	1325	3514	0	1763	0	9388	0	0	0	0	0	0	3563	12751	0	Prepaid taxes	clearing accounts-wires and GL		
13103																					5314	11390	63341		26711				7475	3977				0		12451	0	0				
13251																				0	416	0	1329	84	156	0	0	0	260	0	72	0	0	0	0	497	0	0				
13457																				0	0	0	1137	0	0	0	0	0	271	0	0	0	0	0	0	866	0	0				
14155																				0	600	0	8082	252	292	0	0	0	2326	0	0	0	0	0	0	4864	0	0				
14650																				0	55	258	2149	64	71	0	0	0	203	0	0	0	0	0	0	1562	0	0				
14753																				0	187	0	701	0	27	0	0	0	487	0	0	0	0	0	0	0	0	0				
14865																				0	780	902	15790	625	1525	0	0	0	4681	0	0	0	0	0	0	6101	0	1801				
14977																				0	214	87	936	29	33	0	0	0	602	0	0	4	0	0	0	0	0	0				
16551																				0	1215	0	8227	243	413	0	0	0	1698	0	109	0	0	0	0	4901	0	0				
16748																				0	189	184	2727	0	94	0	0	0	309	0	0	0	0	0	0	1951	0	0				
17110																				0	219	0	3664	0	3397	1755	0	0	48	0	0	0	0	0	0	0	0	0	INVESTMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																				0	28740	4644	502455	0	123261	0	0	0	53925	74335	0	0	0	0	0	173419	98606	19860				
17259																				0	264	0	2672	106	132	0	0	0	276	0	0	0	0	0	0	2000	0	0		0		
17950																				0	1819	0	7153	298	644	101	245	0	4473	0	0	0	0	0	0	0	0	217	DFB Travelers Express	Other assets	0	
17978																				0	3355	0	4666	190	298	54	0	0	1013	0	0	54	0	0	0	0	0	0	Accrued Late Charges Receivable			
18050																				0	953	0	10895	1685	2001	0	0	0	2929	0	0	0	0	0	0	5012	0	0				
18827																				0	7015	1663	57936	5136	12389	6649	0	0	6333	0	0	0	0	0	0	14475	0	16061	NET DERIVATIVE ASSET			
18836																				0	481	553	6663	0	984	532	0	0	499	0	0	0	0	0	0	4146	0	0	DEFERRED DIRECTOR FEES			
18854																					1172	0	8329	672	2792	1964			4365					0		0	0	0	Deferred Tax Asset			
19356																				0	499	0	3942	190	190	0	0	0	450	0	0	0	0	0	0	2803	0	0				
19936																				0	645	281	9199	316	642	227	0	0	1394	0	0	0	0	0	0	6237	0	0	Income Tax Receivable			
19972																				0	33	336	5989	0	183	0	0	0	209	0	0	0	0	0	0	5228	0	0				
20053																				0	192	300	2501	0	73	0	0	0	708	0	0	0	0	0	0	1228	0	0				
20633																				0	930	1315	13313	1618	2075	0	0	0	1158	0	0	0	0	0	0	7835	0	0				
20857																				0	497	0	2400	40	134	0	0	0	1769	93	0	0	0	0	0	0	0	0				
21256																				0	56	0	435	11	11	0	0	0	21	0	0	0	0	0	0	347	0	0				
21359																				0	316	0	1170	71	125	54	0	0	564	0	0	0	0	0	0	165	0	0	Farmer Mac			
21658																					36	168	4779	200	205				812					0		2984	0	574				
22048																				3	1122	0	9642	275	1878	1176	0	0	1039	0	0	0	0	0	0	5603	0	0	Zach McClendon Irrecvocable Trust			
22543																				0	937	0	3775	0	2113	1335	0	0	725	0	0	0	0	0	0	0	0	0	Investment SSB Real Estate LLC			
22552																				0	628	0	1935	0	135	0	0	0	1172	0	0	0	0	0	0	0	0	0				
22730																				0	446	0	5093	144	155	0	0	0	1105	0	0	0	0	0	0	3387	0	0				
23456																				2	682	0	2618	504	525	0	0	0	1411	0	0	0	0	0	0	0	0	0	Stadium Builder			
