"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
37	0	0					68	0	49853					0	0	0			0	40713	0	0										0		
242	0	508					199	0	13432					4400	0	0			0	9730	0	0										0		
279	0	0					2024	34328	12966					30768	0	0			5921	904	0	0										0		
354	0	0					0	0	249					0	0	0			0	0	0	0										0		
457	0	0					485	27	0					9500	0	0			27	0	0	0										6		
505	0	0					5548	0	68132					15880	0	0			0	27132	0	0										0		
1155	0	1062					360	0	24974					0	0	0			0	19216	0	0										0		
1351	0	0					207	49334	6089					0	0	0			15679	0	0	0										0		
1454	0	44132					1211	0	382580					0	0	0			0	138150	0	0										56		
1669	0	14574					188	34255	63026					0	0	0			32254	0	0	0										0		
1856	0	0					1675	0	19246					17500	0	0			0	0	0	0										0		
2161	0	0					583	0	29618					27566	0	0			0	23364	0	0										0		
2732	0	0					926	0	44914					0	0	0			0	18851	0	0										0		
2750	0	0					203	0	9279					345	0	0			0	8727	0	0										4946		
3252	0	0					673	0	91901					5100	0	0			0	29114	0	0										0		
3458	0	0					387	3276	8078					4328	0	0			3276	3719	0	1000										0		
3720	0	762					376	1800	80727					0	0	0			1800	24186	0	0										0		
3971	0	0					5299	0	70250					88143	0	0			0	2139	0	0										1023		
