"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
37			961	0	12	0	981	32	0																				
242			157	0	25	0	187	55	0																				
279			1561	482	8	0	1104	33	0																				
354			170	5	25	0	144	4	0																				
457			681	0	190	0	497	6	0																				
505			7375	1167	92	0	6205	89	0																				
1155			4044	352	32	0	3696	36	0																				
1351			1250	588	65	0	1100	503	0																				
1454			4724	1630	65	0	3501	472	0																				
1669			3566	747	58	0	3070	309	0																				
1856			294	60	2	0	235	3	0																				
2161			2122	717	20	0	1440	55	0			0	0																
2732			5042	0	14	0	5028	0	0																				
2750			441	298	5	0	553	415	0																				
3252			4482	900	368	0	3987	773	0																				
3458			478	178	11	0	552	263	0																				
3720			1700	16	11	0	1715	42	0																				
3971			7022	3992	148	0	3094	212	0																				
4156			2605	650	42	0	1954	41	0																				
4231			721	0	15	0	768	62	0																				
5069			7988	830	0	0	7158	0	0																				
5135			4692	2085	20	0	4911	2324	0																				
5210			20226	9140	238	0	13835	2987	0																				
5461			6692	600	124	0	5989	21	0																				
5751			2422	94	4	0	2324	0	0																				
6039			3746	1015	43	0	3162	474	0			0	0																
6329			15831	9383	1165	0	13369	8086	0				0																
7009			0	0	0	0	0	0	0																				
7045			1097	782	341	0	1211	1237	0			0	0																
7072			2904	875	99	0	2327	397	0																				
7456			887	10	4	0	873	0	0																				
7634			1218	40	39	0	1204	65	0																				
8033			1802	544	249	0	1409	400	0																				
8462			1951	746	12	0	1216	23	0																				
8631			402	0	9	0	417	24	0																				
9357			4846	806	277	0	4169	406	0																				
9553			1211	0	0	0	1211	0	0																				
9807			31123	0	337	0	31358	572	0				0																
9955			1828	109	6	0	1732	19	0																				
10250			5127	1925	136	0	3184	118	0																				
10849			2211	757	10	0	1612	168	0																				
11145			2776	493	82	0	2362	161	0				0																
11640			2995	8	40	0	3006	59	0																				
11837			924	100	14	0	816	6	0																				
12030			10167	3500	6059	0	7995	7387	0																				
12142			1652	120	80	0	1635	183	0																				
12311	0		1814252	1089163	90802	0	782852	540325	391760	0	5161			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12647			1073	0	5	0	1077	9	0																				
12656			192	5	1	0	195	9	0																				
12946			22861	8400	782	0	18666	4987	0																				
13103			18907	3138	83	0	16517	831	0				0																
13251			593	60	50	0	483	0	0																				
13457			96	3	0	0	93	0	0																				
14155			3519	438	28	0	3090	37	0																				
14650			894	255	24	0	697	82	0																				
14753			530	0	0	0	530	0	0																				
14865			5013	700	19	0	4299	5	0																				
14977			594	255	1	0	374	36	0			0	0																
16551			3756	775	20	0	3026	65	0																				
16748			653	0	0	0	653	0	0																				
17110			279	0	0	0	279	0	0			0	0																
17147			130648	58673	2176	0	80284	10485	0			0	0																
17259			178	25	5	0	153	5	0																				
17950			5364	970	77	0	4707	390	0																				
17978			1440	0	0	0	1444	4	0																				
18050			6498	1330	99	0	5358	289	0																				
18827			11392	4468	154	0	8304	1534	0																				
18836			1707	421	331	0	1123	168	0																				
18854			9639	5350	33	0	7846	3590	0				0																
19356			874	276	21	0	874	297	0																				
19936			4503	1200	38	0	3523	258	0																				
19972			400	0	0	0	400	0	0																				
20053			1430	211	9	0	1338	128	0																				
20633			3056	320	4	0	3270	538	0																				
20857			1003	210	130	0	923	260	0																				
21256			66	21	12	0	67	34	0																				
21359			417	89	0	0	412	88	4																				
21658			2139	165	29	0	1958	13	0				0																
22048			2470	786	37	0	1782	135	0																				
22543			1867	512	107	0	1293	45	0																				
22552			1082	115	6	0	1170	209	0																				
22730			1470	510	114	0	1171	325	0																				
23456			2037	360	166	0	1881	370	0																				
23504		0	44200	11500	301	0	32786	2012	1625			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23643			1075	180	100	0	1057	262	0																				
23755			2138	965	16	0	1544	387	0																				
24006			8677	2534	217	0	6216	290	0																				
24378			184	15	18	0	197	46	0																				
24453			5699	4600	327	0	2832	2060	0																				
24659			617	157	24	0	438	2	0																				
24668			21061	12115	312	0	13431	4797	0																				
24949			7207	900	280	0	6094	67	0																				
25357			5015	2160	99	0	3627	871	0																				
25647			2573	900	0	0	1673	0	0				0																
26176			3215	29	4	0	3182	0	0																				
26457			223	5	1	0	217	0	0																				
26765			26029	11340	1900	0	15872	3083	0																				
27070			4385	3449	0	0	1000	64	0																				
27548			10764	7600	720	0	7942	5498	0				0																
27614			1471	150	26	0	1308	13	0																				
27847			6567	2236	272	0	4837	778	0																				
28013			37606	12741	465	0	28707	4307	0				880																
28152			1448	65	0	0	1383	0	0				0																
28675			800	116	0	0	684	0	0				0																
28732			1116	105	35	0	988	12	0																				
29476			1306	260	1	0	1077	32	0																				
29636			4735	1485	212	0	3755	717	0																				
29878			18036	4892	198	0	13055	109	0				0																
30052			373	54	3	0	317	1	0																				
30502			9455	2250	176	0	7224	195	0																				
30650			1127	0	7	0	1381	261	0																				
30810	0		8225760	5116592	741921	0	3383436	3476753	2460564	0	200000			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31134			1300	260	51	0	1100	111	0				0																
31255			7353	800	246	0	6688	381	0			0	0																
31657			958	125	61	0	845	73	0																				
31826			3043	175	213	0	2899	244	0				0																
31835			1301	870	240	0	1157	966	0																				
32234			119	76	10	0	58	25	0																				
32766			284	224	0	0	60	0	0																				
32971			2660	865	66	0	1863	134	0																				
33147			4264	961	64	0	3534	295	0																				
33259			8412	4215	294	0	6025	2122	0																				
33268			1206	40	3	0	1181	18	0																				
33370			141	25	0	0	116	0	0																				
33839			92	0	4	0	97	9	0																				
33857			9875	1729	279	0	8237	370	0				0																
34425			13789	6824	456	0	7562	1053	0																				
34434			1943	157	42	0	2147	403	0																				
34537		0	92733	37779	2252	0	35154	9957	27505					0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	
34555			2675	483	77	0	2735	620	0			0	0																
34742			4679	840	13	0	3875	13	-36																				
35057			1844	531	16	0	1468	171	0			0	0																
35301	2000		122000	81000	0	0	74000	40000	7000			0		0	0	3000	0	0	3000	0	0	0	0	0	0	0	0	1000	
35570		0	282987	64891	7734	0	228120	18387	629			0		0	0	648	2383	0	3031	0	0	0	0	0	0	0	0	0	
35646			264	21	0	0	243	0	0																				
35879			1036	215	1	0	886	66	0																				
36456			2506	626	899	0	1918	937	0																				
36933			1580	240	31	0	1390	81	0																				
37051			592	36	0	0	356	2	202																				
37341			878	382	35	0	686	225	0																				
37435			15109	2713	1017	0	12313	934	0																				
37640		0	46859	17550	514	0	16278	3136	15653			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37659			466	90	5	0	431	60	0			0	0																
37949			2211	240	90	0	1975	94	0																				
38740			2153	285	12	0	1902	46	0																				
39327			1836	965	100	0	853	82	0																				
39756			6806	912	35	0	5972	113	0				0																
40033			402	0	6	0	402	6	0																				
40499			55395	34815	827	0	24060	4307	0				57																
40855			1266	168	0	0	1098	0	0																				
41553			711	-480	19	0	1172	0	0																				
41629			2638	854	291	0	2158	665	0																				
41825			7480	3253	6	0	4235	14	0																				
41955			277	0	0	0	277	0	0																				
42037			574	75	19	0	497	17	0																				
42354			1239	12	1	0	1246	20	0																				
42372			2691	641	128	0	1997	75	0																				
42420		0	101309	56718	2057	0	51637	19250	10147					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42448			20060	3784	1112	0	19915	4751	0			0	0																
42457			718	69	0	0	649	0	0																				
43052			1137	175	46	0	963	47	0																				
43351			800	2960	15	0	521	2696	0																				
43856			401	124	2	0	278	3	0																				
43959			890	183	4	0	724	21	0																				
44040			4809	80	36	0	4727	34	0																				
44433			6200	1210	633	0	5261	904	0				0																
44741			4709	225	130	0	4680	326	0																				
44750			2037	75	21	0	2087	146	0																				
44929			1030	0	1	0	1034	5	0				0																
45038			1283	-450	53	0	1868	188	0			0	0																
45047			2425	510	113	0	2084	282	0																				
45056			450	378	1	0	518	447	0																				
45430			497	51	82	0	417	53	0																				
45458			1898	300	1	0	1649	52	0																				
45551			11614	1950	690	0	9582	608	0																				
45560			16361	3825	474	0	13050	988	0				0																
45775			802	0	0	0	802	0	0																				
46053			2688	256	178	0	2431	177	0																				
46941			1680	166	8	0	1568	62	0																				
47247			6394	5048	76	0	3340	2070	0				0																
47256			347	0	0	0	347	0	0																				
47452			1628	460	1	0	1202	35	0																				
47500			4567	1184	87	0	3899	603	0																				
48057			802	16	2	0	788	4	0																				
48150			215	39	18	0	158	0	0																				
48374			12594	4325	397	0	11097	3225	0																				
48440			1496	275	362	0	1031	172	0																				
49054			2931	86	52	0	2817	24	0																				
49148			723	60	3	0	676	16	0																				
49241			7892	3264	327	0	6324	2013	-10																				
49652			2772	433	19	0	2425	105	0																				
49858			941	270	13	0	932	274	0																				
49951			923	437	67	0	959	540	0																				
50144			542	30	57	0	495	40	0																				
50461			4638	450	0	0	4188	0	0				0																
51253			8101	2500	359	0	6040	798	0			0	0																
51356			298	10	1	0	292	5	0				0																
51459			1519	-2	61	0	1534	74	0																				
51842			12893	2100	700	0	13508	3415	0				0																
52719			0	0	0	0	0	0	0			0	0																
52951			4815	1394	278	0	3781	638	0																				
53051			450	-50	101	0	400	1	0																				
54058			8377	765	80	0	8077	545	0				0																
54656			3822	1406	48	0	2614	246	0			0	0																
54973		0	101201	49811	4748	0	53355	26154	19441					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
55336			3376	725	130	0	2775	254	0																				
55635			1123	15	51	0	1159	102	0																				
55653			946	300	46	0	660	60	0																				
55970			7859	2091	0	0	5768	0	0																				
56258			2931	420	1	0	2532	22	0																				
56351			26711	10864	309	0	16907	1369	0				0																
56548			6636	500	24	0	6125	13	0																				
56717			10654	3500	198	0	8438	1482	0																				
57040			1642	40	26	0	1577	1	0			0	0																
57451			4708	400	121	0	4831	644	0																				
58225			2930	670	37	0	2584	361	0																				
58243			84121	15000	11236	0	60991	3106	0				0																
58355			439	110	0	0	329	0	0																				
58551			2285	832	189	0	1784	520	0																				
58636			4151	1287	134	0	3302	572	0																				
58757			1535	300	19	0	1223	7	0																				
58971			132811	33000	5530	0	96415	2134	0				0																
59316			13150	5450	133	0	8509	942	0																				
59352			4881	420	101	0	4367	7	0				0																
59370			2560	50	72	0	2462	24	0																				
59754			103	19	8	0	103	27	0																				
60143	0		948000	524000	42000	0	637000	238000	-17000					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
60330			13737	183	4136	0	10269	851	0			0	0																
60545			2185	0	6	0	2223	44	0																				
60554			805	60	0	0	991	246	0																				
60648			4540	315	126	0	4117	18	0																				
61122			16486	5401	510	0	12537	1962	0				0																
61355			17632	9218	586	0	11451	3623	0																				
61476			2180	1869	0	0	411	100	0																				
61757			4751	825	11	0	3915	0	0				0																
61832			2657	0	17	0	2640	0	0																				
61953			561	369	1	0	491	300	0																				
62044			173	0	0	0	174	1	0																				
62110			0	0	0	0	0	0	0																				
62147			757	2	7	0	757	9	0																				
63050			2795	535	48	0	2355	143	0																				
63069			532444	149909	18011	0	422208	55914	-1770			0	3298																
63201			824	449	1	0	410	36	0																				
63573			6488	295	110	0	6083	0	0																				
63733			9508	1303	383	0	8680	858	0				0																
63742			6065	1417	170	0	4532	54	0																				
63751			202	65	1	0	161	25	0				0																
64150			2248	450	3	0	1795	0	0																				
64552			2287	531	57	0	1854	155	0				0																
64730			2101	-346	420	0	2068	41	0																				
65205			5286	562	18	0	4743	37	0																				
65513			47	0	0	0	47	0	0				0																
65559			4093	773	0	0	3438	118	0				0																
65746			8752	1520	8	0	7391	167	0			0	0																
65858			18323	8100	616	0	16197	6590	0																				
66154			1327	749	6	0	834	262	0																				
66275			3839	940	4	0	2902	7	0																				
66677			1673	265	0	0	1408	0	0				0																
67142			515	200	4	0	318	7	0																				
67151			12422	3002	152	0	10658	1390	0																				
67209			12390	5167	81	0	8511	1369	0																				
67254			8	12	1	0	11	16	0																				
67656			48463	27727	3032	0	42929	25225	0				0																
67870			4086	780	499	0	3064	257	0																				
68671			590	108	3	0	479	0	0																				
68756			6469	1452	44	0	5044	71	0			0	0																
68831			1399	261	76	0	1228	166	0																				
69333			14301	2646	304	0	12108	757	0			0	0																
69678			6351	12	166	0	6387	214	0																				
70218			1027	0	0	0	1027	0	0			0	0																
70414			3721	270	66	0	3451	66	0																				
70638			4142	1458	390	0	3120	826	0																				
70955			180	58	8	0	114	0	0																				
71073			557	154	0	0	403	0	0																				
71457			5566	380	3	0	5183	0	0																				
71859			197	147	0	0	50	0	0																				
72258			2880	355	76	0	2487	38	0																				
72351			1295	0	156	0	1195	56	0																				
72454			774	271	11	0	763	271	0																				
72678			1677	0	120	0	1700	143	0																				
73116			4951	1187	74	0	3776	86	0																				
73152			986	55	7	0	928	4	0																				
73554			2923	180	254	0	2613	124	0																				
73956			563	0	89	0	617	143	0																				
74056			1353	248	0	0	1107	2	0																				
74140			9744	1665	521	0	7939	381	0				0																
74403			8606	2837	26	0	5901	158	0				209																
74449			83	1	1	0	81	0	0																				
75259			9586	5300	16	0	6030	1760	0																				
75446			3126	450	142	0	2938	404	0																				
75455			668	0	1	0	680	13	0																				
75558			4106	935	116	0	3487	432	0																				
75633			1188203	581991	90690	0	832527	317005	0			0	35414																
75651			773	200	15	0	599	41	0																				
76153			537	83	12	0	490	48	0			0	0																
76443			1168	284	32	0	867	15	0																				
76854			8000	3136	79	0	4858	73	0																				
77150			1178	1368	6	0	749	945	0			0	0																
77253			2836	725	445	0	1808	142	0																				
77422			1946	225	36	0	1685	0	0																				
77851			35348	8979	426	0	18556	2884	10271			0	0																
78157			340	7	8	0	343	18	0																				
78241			542	14	94	0	444	10	0																				
78559			1058	210	65	0	938	155	0																				
79042			882	285	67	0	592	62	0				0																
79127			720	204	85	0	723	292	0				0																
79145			2281	250	2	0	2035	6	0																				
79257			55	24	9	0	24	2	0																				
79855			1663	365	3	0	1310	15	0																				
80150			453	170	39	0	366	122	0																				
80374			436	87	0	0	396	47	0																				
80431			768	220	31	0	1020	503	0																				
81175			5054	463	3	0	4632	44	0																				
82033			2498	105	186	0	2312	105	0																				
82257			1257	745	40	0	968	496	0																				
82350			312	76	8	0	246	18	0																				
82659			1064	1100	3	0	584	623	0			0	0																
83151			2127	875	70	0	1188	6	0																				
83236			282	15	0	0	267	0	0																				
83375			10081	2954	331	0	8000	1204	0																				
83638			110902	88620	920	34	52223	30827	0			57	0																
83834			1533	96	39	0	1443	45	0																				
83852			230	67	0	0	163	0	0																				
83955			770	79	270	0	664	243	0																				
84046			150	0	0	0	150	0	0																				
84541			12254	3260	1143	0	9152	1301	0																				
84804			647	51	13	0	633	50	0																				
85052			1240	115	0	0	1125	0	0																				
85472		0	60735	57401	1296	0	16852	20154	5340					0	0	446	1268	0	1714	0	0	0	0	0	0	0	0	0	
85931			1917	500	157	0	1857	597	0																				
86349			3185	391	95	0	2944	245	0																				
86675			7367	2335	301	0	5419	688	0																				
87047			1123	93	2	0	1060	32	0																				
87159			1143	195	42	0	967	61	0																				
87234			3994	1255	103	0	3460	824	0																				
87476			6664	0	201	0	6502	39	0																				
87579			4587	250	6	0	4331	0	0				0																
88231			11348	4816	569	0	6772	809	0																				
88259			763	10	0	0	753	0	0																				
88352			1482	50	203	0	1346	117	0				0																
88455			5176	680	17	0	4512	33	0																				
88950			863	170	1	0	694	2	0																				
89032			839	150	27	0	758	96	0																				
89135			841	-90	24	0	923	16	0																				
89854			1595	0	21	0	1581	7	0																				
89957			1196	336	4	0	895	39	0																				
90047			198	0	0	0	200	2	0																				
90177			1093	212	11	0	1077	207	0																				
90328			4900	1189	120	0	3893	302	0																				
90337			13000	855	856	0	13275	1986	0			0	0																
90579			4209	1025	0	0	3184	0	0																				
91615			757	0	12	0	833	88	0																				
91754			3734	1069	28	0	2729	92	0			0	0																
91950			221	27	4	0	300	110	0																				
92144			228	0	3	0	230	5	0																				
92676			3745	523	46	0	3261	85	0				0																
92706			2201	480	110	0	2108	497	0																				
92902			130	5	1	0	130	6	0																				
93244			2686	0	19	0	2722	55	0																				
93543			5985	2966	141	0	4340	1462	0																				
93619	0		0	0	0	0	0	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
94139			4161	951	294	0	3351	435	0																				
94522			5597	562	125	0	5271	361	0																				
94755			2306	685	151	0	1831	361	0																				
94858			1258	15	135	0	1254	146	0																				
95051			1941	1072	287	0	2669	2087	0			0	6																
95677			801	74	23	0	792	88	0																				
96553			541	420	144	0	156	179	0																				
97055			3037	200	1167	0	2917	1247	0																				
97279			397	71	4	0	347	25	0																				
97457			1187	207	43	0	937	0	0																				
97804			16777	8600	481	0	9649	1953	0																				
97943			2394	500	101	0	1967	174	0																				
98351			752	399	8	0	495	150	0																				
98463			12488	6860	121	0	5538	31	0																				
98717			2234	0	0	0	2234	0	0			0	0																
99143			1720	730	59	0	1396	465	0																				
99376			24320	6934	846	0	16921	381	0				0																
99442			4706	799	633	0	4120	846	0																				
99536			6730	1960	280	0	4727	847	610																				
99853			160	0	13	0	164	17	0																				
100236			4008	546	162	0	3512	212	0																				
100357			7676	1592	207	0	6803	926	0																				
100562		0	91847	42813	1885	0	30616	1755	18288			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100777			2351	0	548	0	1901	98	0																				
100843			8511	2090	123	0	6663	365	0																				
101019			79434	52666	4451	0	52851	30534	0			0	0																
101037			16561	3900	619	0	12643	601	0																				
101439			3076	450	102	0	2663	139	0				0																
101671			5923	3040	276	0	2862	255	0				0																
101738			1254	217	153	0	1314	430	0																				
101952			1258	147	0	0	1111	0	0																				
102333			419	50	3	0	552	186	0																				
102342			3150	780	7	0	2372	9	0																				
102539			274	0	7	0	267	0	0																				
102557			1084	279	0	0	853	48	0																				
102874			750	437	1	0	331	19	0				0																
103134			538	0	0	0	546	8	0			0	0																
104234			458	99	45	0	361	47	0																				
104542			92	118	34	0	133	193	0																				
104971			197	5	0	0	213	21	0																				
105026			3176	875	326	0	3222	1247	0																				
105473			11208	1200	781	0	9312	6	-79																				
105530			1005	178	36	0	868	77	0																				
106359			22179	7450	1184	0	15180	1635	0				0																
106452			5254	1341	693	0	3291	71	0																				
106676			792	-8	0	0	800	0	0																				
107244		0	295824	177082	4023	0	108525	33393	39587			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
107459			266	12	115	0	171	32	0																				
107570			3852	580	249	0	3192	169	0																				
107758			521	0	405	0	519	403	0																				
108072			1875	567	9	0	1457	158	0																				
108269			855	18	46	0	801	10	0																				
108652			191	0	0	0	192	1	0																				
108746			145	5	1	0	141	2	0																				
108951			2870	597	89	0	3377	1193	0																				
109136			1797	240	116	0	1508	67	0																				
109154			659	104	3	0	576	24	0																				
109453			1640	400	13	0	1250	23	0																				
109574			3029	193	129	0	2857	150	0																				
109659			2761	1139	115	0	2517	1010	0																				
110413			5289	1250	6	0	4241	208	0				0																
110936			6133	1165	110	0	4904	46	0																				
110945			2216	45	36	0	2228	93	0																				
110972			190	60	3	0	132	5	0																				
111157			463	0	0	0	525	62	0			0	0																
111205			8037	3292	73	0	4975	303	0																				
111942			4937	1350	660	0	3628	701	0																				
111979			6736	0	22	0	6757	43	0																				
112163		0	33619	13200	212	0	16202	543	4548					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112332			965	486	102	0	989	612	0																				
112444			0	4	4	0	2616	8	-2616																				
112510			502	95	2	0	405	0	0																				
112556			592	36	11	0	552	7	0																				
112837	0		5103205	3092531	1076860	41749	2272168	2342305	1045700	0	37328	0		0	0	0	0	0	0	0	6067	2509	1573	9191	958	0	0	0	
113003			1258	0	24	0	1292	58	0				0																
113030			2749	95	2	0	2710	58	0																				
113441			6631	380	253	0	6177	179	0																				
113601			11354	1995	0	0	9369	10	0																				
113740			11657	2625	506	0	9160	634	0				0																
113937			2417	540	55	0	2004	182	0																				
114149			2150	90	13	0	2159	112	0																				
114251			1065	29	5	0	1034	3	0																				
114260			21550	2195	430	0	19500	575	0			0	0																
114457			3550	174	78	0	3450	152	0																				
114774			690	255	0	0	492	57	0																				
114840			3939	720	17	0	3227	25	0																				
114859			778	60	2	0	716	0	0																				
115146			882	50	63	0	769	0	0																				
115575			5858	1844	130	0	3911	27	0																				
116358			374	40	13	0	332	11	0																				
116554			93	23	0	0	70	0	0																				
116741			1415	90	6	0	1325	6	0																				
117038			1454	0	41	0	1439	26	0			0	0																
117074			1692	80	2	0	1610	0	0																				
117458			9291	2800	127	0	6392	28	0																				
117775			828	41	0	0	895	108	0			0	0																
118156			1823	700	12	0	1152	41	0																				
118660			2001	591	0	0	1410	0	0																				
118736			1448	253	83	0	1248	136	0																				
119153			3183	1667	115	0	2419	1018	0				0																
119528			9580	3247	250	0	6556	473	0																				
119779			11214	3599	261	0	7407	53	0				0																
119872			3342	480	23	0	2875	36	0																				
120476			300	18	0	0	282	0	0																				
120542			5516	1200	438	0	4006	128	0																				
120609			9407	2282	84	0	7253	212	0																				
120953			1293	0	1	0	1348	56	0																				
121642			36000	17112	4359	0	21500	6971	0			0	0																
121651			1239	585	70	0	597	13	0																				
121914			3685	896	43	0	3110	364	0																				
122153			234	51	25	0	203	45	0																				
122546			818	280	16	0	620	98	0																				
122854			87820	42993	239	0	51461	6873	0				194																
123075			711	0	0	0	711	0	0																				
123374			1010	60	131	0	954	135	0																				
124344			5736	1010	340	0	4815	429	0																				
124830			993	0	46	0	953	6	0																				
125154			3305	1651	2320	0	3161	3827	0				0																
125471		0	326100	251683	6741	0	106238	129146	90584					0	0	703	796	0	1499	0	0	0	0	0	0	0	0	0	
125855			9551	4486	521	0	6169	1625	0																				
125873			1227	0	27	0	1200	0	0																				
125958			241	0	12	0	229	0	0																				
126012			5257	1225	30	0	4090	88	0																				
126049			1334	50	143	0	1690	549	0																				
126375			519	50	40	0	592	163	0																				
126553			2695	460	79	0	2159	3	0				0																
126834			3039	964	125	0	2090	140	0																				
127055			784	99	38	0	723	76	0																				
127224			1851	16	28	0	1947	140	0																				
128258			250	60	5	0	203	18	0																				
128904			113031	38800	1788	0	82297	9854	0				2432																
129349			1132	1238	52	0	1151	1309	0																				
129358			746	111	1	0	634	0	0																				
129479			4431	400	36	0	4010	15	0																				
129732			66347	55949	1809	0	31936	23347	0			0	6462																
129853			2300	108	239	0	2300	347	0																				
129910			4248	300	25	0	4039	116	0																				
130345			7057	0	539	0	6753	235	0																				
130541		0	57027	20751	1162	0	17667	3026	20473					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
130813			4060	1250	249	0	2625	64	0																				
131034			3505	850	46	0	2858	249	0																				
131173			9617	3600	119	0	7607	1709	0																				
131436			6059	1600	94	0	4400	35	0			0	0																
131650		0	308794	122265	7354	0	72781	70895	177289					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
131717			708	0	17	0	767	76	0			0	0																
131940			1039	30	45	0	978	14	0																				
132107			11420	2152	17	0	9296	45	0																				
132451			1176	154	3	0	1027	8	0																				
132554			5775	1000	267	0	5267	759	0			0	0																
132778			365	0	23	0	346	4	0																				
132938			675	142	16	0	575	58	0																				
133579			4875	1373	692	0	3685	875	0			0	0																
133850			14296	3175	318	0	11605	802	0																				
133971			3781	739	129	0	2915	2	0																				
134156			1842	180	92	0	2027	457	0																				
134437			8838	1775	445	0	8069	1451	0			0	0																
134455			1070	429	3	0	978	340	0																				
134848			1771	200	7	0	1564	0	0																				
135836			2660	5459	282	0	2033	5114	0																				
135854			942	60	32	0	855	5	0																				
136048			798	8	24	0	863	97	0																				
136338			2368	379	68	0	2122	201	0																				
136459			306	0	0	0	306	0	0																				
136655			788	0	28	0	781	21	0																				
137205			24593	8322	506	0	17122	1357	0																				
137447			2879	710	43	0	2176	50	0																				
137456			874	468	4	0	1046	644	0																				
137559			2064	150	14	0	2101	201	0																				
137643			1151	60	6	0	1145	60	0																				
137652			4000	3344	55	0	638	37	0			0	0																
137915			79732	22302	570	0	63163	6303	0				0																
138051			1757	150	7	0	1621	21	0																				
138257			451	-50	53	0	452	4	0																				
138556			455	33	58	0	417	53	0																				
139133			2129	200	12	0	1924	7	0				0																
139478			5235	716	16	0	4711	208	0																				
139553			12803	3850	331	0	9213	591	0																				
139656			33709	24255	544	0	12232	3322	0			0	1639																
139740			29436	12000	202	0	17235	1	0				0																
139834			411	0	16	0	416	21	0																				
139843			17737	10400	1096	0	16871	10630	0				0																
139955			840	92	10	0	745	7	0																				
140157			2753	0	5	0	2762	14	0																				
140362			24609	2710	188	0	25028	3317	0			0	0																
140634			332	144	32	0	444	288	0																				
141211			4268	650	42	0	4024	448	0																				
141341			3420	360	22	0	3155	117	0																				
141350			425	120	66	0	455	216	0																				
141556			94276	52175	8078	0	67279	33256	0				618																
141677			173	-10	0	0	183	0	0																				
141958			576	70	25	0	605	124	0																				
142049			1480	63	7	0	1421	11	0																				
142179			304	42	1	0	293	32	0																				
142955			7423	750	609	0	6136	72	0																				
143372			939	106	42	0	871	80	0																				
143662		0	328401	191872	13394	0	157629	84491	49997					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
143859			2765	456	1632	0	2731	2055	1																				
143952			2320	390	189	0	1833	92	0																				
144034			2665	167	130	0	2805	437	0																				
144052			4148	225	85	0	3931	93	0																				
144155			3315	0	99	0	3239	23	0				0																
144678			1900	-497	618	0	1865	86	0																				
144856			2278	400	12	0	1906	40	0																				
144913			2258	214	31	0	2045	32	0																				
145059			631	0	2	0	629	0	0																				
145545			4280	1046	80	0	3473	319	0																				
145554			2498	541	50	0	1964	57	0																				
145741			1290	100	6	0	1260	76	0																				
145844			4072	410	129	0	3897	364	0																				
146056			736	100	18	0	975	357	0																				
146663			12838	1100	171	0	11653	86	0																				
146672		0	252491	131751	6265	0	107000	15525	23000					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
147651			599	375	86	0	616	478	0																				
147679			1313	92	0	0	1224	3	0																				
147857			3100	40	53	0	3026	19	0			0	0																
147923			2520	395	98	0	2072	45	0																				
148171			2362	415	0	0	2049	102	0																				
148238			2228	664	93	0	1960	489	0																				
148340			550	0	7	0	551	8	0																				
148470			1044	-219	32	0	1231	0	0																				
148715			982	0	66	0	991	75	0																				
148809			5097	900	32	0	4302	137	0				0																
148920			581	75	39	0	505	38	0																				
149150			1697	153	239	0	1324	19	0																				
150035			9715	700	71	0	8960	16	0				0																
150044			9380	4600	14	0	5484	718	0																				
150156			111	4	0	0	111	4	0																				
150727			7166	4400	168	0	3063	465	0																				
151546			849	130	32	0	777	90	0				0																
151957			8955	3000	753	0	6006	804	0																				
