"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	RIADMG93	RIADMG94	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	Provisions for credit losses on off-	Estimated amount of expected recover	
37			954	0	7	0	961	14	0																						
242			175	0	19	0	157	1	0																						
279			1592	50	17	0	1561	36	0																						
354			180	0	11	0	169	0	0																						
457			676	0	8	0	681	13	0																						
505			8080	756	19	0	7374	69	0																						
1155			3789	306	123	0	4044	684	0																						
1351			1250	327	112	0	1250	439	0																						
1454			5043	0	397	0	4724	78	0																						
1669			4026	594	43	0	3565	176	0																						
1856			279	4	3	0	294	22	0																						
2161			2247	465	261	0	2122	601	0			0	0																		
2732			5066	0	38	0	5042	14	0																						
2750			508	65	2	0	441	0	0																						
3252			3967	400	399	0	4482	1314	0																						
3458			583	115	2	0	478	12	0																						
3720			1780	70	11	0	1700	1	0																						
3971			8332	1606	270	0	7022	566	0																						
4156			2792	476	148	0	2605	437	0																						
4231			856	211	14	0	721	90	0																						
5069			9372	4419	0	0	7988	3035	0																						
5135			4593	675	91	0	4692	865	0																						
5210			19033	50	75	0	20226	1318	0																						
5461			6774	0	123	0	6692	41	0																						
5751			2409	0	4	0	2422	17	0																						
6039			3989	400	20	0	3746	177	0			0	0																		
6329			17176	6650	1189	0	15831	6494	0				0																		
7009			0	0	0	0	0	0	0																						
7045			1157	87	74	0	1097	101	0			0	0																		
7072			3076	75	149	0	2904	52	0																						
7456			887	0	0	0	887	0	0																						
7634			1199	45	69	0	1218	133	0																						
8033			1906	344	126	0	1803	367	0																						
8462			2009	77	3	0	1951	22	0																						
8631			396	0	1	0	402	7	0																						
9357			4944	0	886	0	4846	788	0																						
9553			1212	0	1	0	1211	0	0																						
9807			31649	0	576	0	31123	50	0				0																		
9955			1711	-100	12	0	1828	29	0																						
10250			5112	165	148	0	5126	327	0																						
10849			2761	552	0	0	2211	2	0																						
11145			2964	133	107	0	2776	52	0				0																		
11640			2982	18	94	0	2995	125	0																						
11837			1024	100	1	0	924	1	0																						
12030			9770	1000	5945	0	10167	7342	0																						
12142			1986	520	50	0	1652	236	0																						
12311	0		2030159	-863	167235	0	1814252	382109	431644	0	4254	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25392	0	
12647			1075	0	4	0	1073	2	0																						
12656			180	8	0	0	192	20	0																						
12946			24402	4400	797	0	22861	3656	0																						
13103			20360	1557	204	0	18907	308	0				0																		
13251			604	60	14	0	593	63	0																						
13457			103	0	8	0	97	2	0																						
14155			3809	270	102	0	3519	82	0																						
14650			1006	108	23	0	894	19	0																						
14753			530	0	0	0	530	0	0																						
14865			5396	840	83	0	5013	540	0																						
14977			679	90	0	0	594	5	0			0	0																		
16551			4207	450	26	0	3756	25	0																						
17110			279	0	0	0	279	0	0			0	0																		
17147		0	195397	0	2578	0	130648	11884	74055			0		0	0	0	245	0	245	0	0	0	0	0	0	0	0	0	0	1405	
17259			166	5	8	0	178	25	0																						
17950			5579	275	30	0	5364	90	0																						
17978			1440	0	0	0	1440	0	0																						
18050			6859	450	83	0	6498	172	0																						
18827			13362	1885	273	0	11392	188	0																						
18836			1601	15	67	0	1707	188	0																						
18854			10316	4175	317	0	9639	3815	0				0																		
19356			922	0	54	0	874	6	0																						
19936			4470	0	72	0	4503	105	0																						
19972			399	0	2	0	400	3	0																						
20053			1297	240	73	0	1430	446	0																						
20633			2691	-160	16	0	3056	221	0																						
20857			2624	-500	134	0	2992	2	0																						
21256			70	0	6	0	66	2	0																						
21359			441	24	0	0	417	0	0																						
21658			2296	180	18	0	2139	41	0				0																		
22048			3090	671	30	0	2470	81	0																						
22543			2507	650	13	0	1867	23	0																						
22552			918	70	3	0	1082	237	0																						
22730			1591	145	158	0	1470	182	0																						
23456			2176	330	33	0	2037	224	0																						
23504		0	83853	6212	380	0	41462	9656	45455			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23643			1325	395	83	0	1075	228	0																						
23755			2441	180	198	0	2138	75	0																						
24006			8429	-612	525	0	8677	161	0																						
24378			185	0	1	0	184	0	0																						
24659			630	0	13	0	617	0	0																						
24668			15492	6225	258	0	21061	12052	0																						
24949			7181	-200	266	0	7207	92	0																						
25357			5901	1020	84	0	5015	218	0																						
25647			3023	450	0	0	2573	0	0				0																		
26457			228	5	0	0	223	0	0				0																		
26765			33702	6449	1540	0	26029	316	0																						
27070			5087	650	57	0	4385	5	0																						
27548			11125	500	788	0	10764	927	0																						
27614			1461	0	36	0	1471	46	0																						
27847			6855	937	295	0	6567	944	0																						
28013		0	38973	-6184	279	0	37607	3082	10353					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28152			1444	0	0	0	1448	4	0				0																		
28675			801	1	0	0	800	0	0				0																		
28732			1084	120	1	0	1116	153	0																						
29476			1566	259	1	0	1306	0	0																						
29636			4513	1409	507	0	4735	2138	0																						
29878			17570	-451	0	0	18036	15	0				0																		
30052			393	22	0	0	372	1	0																						
30502			9466	0	162	0	9455	151	0																						
30650			0	0	1	0	1127	1	-1127																						
30810	0		6821480	226271	903274	0	8225760	2533825	0	0	115000			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8500	1699000	
31134			1400	73	74	0	1300	47	0				0																		
31255			7649	366	43	0	7353	113	0			0	0																		
31657			991	3	30	0	958	0	0																						
31826			3180	130	47	0	3043	40	0				0																		
31835			1958	800	242	0	1301	385	0																						
32234			168	89	17	0	119	57	0																						
32766			809	525	5	0	284	5	0																						
32971			2733	50	147	0	2660	124	0																						
33147			4853	625	45	0	4264	81	0																						
33259			8720	118	196	0	8412	6	0																						
33268			1246	116	5	0	1206	81	0																						
33370			141	0	0	0	141	0	0																						
33839			93	0	1	0	92	0	0																						
33857			10424	1150	95	0	9875	696	0				0																		
34434			2742	862	40	0	1943	103	0																						
34537		0	83315	-9421	3071	0	92733	6114	3046					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34555			2604	180	30	0	2675	281	0			0	0																		
34742			4802	200	51	0	4679	128	0																						
35057			1963	125	14	0	1844	20	0			0	0																		
35301	0		87000	-29000	0	0	122000	2000	-4000			0		3000	0	-2000	-1000	0	0	0	0	2000	0	0	2000	0	0	-2000	-2000	0	
35570		0	240681	-43842	5604	0	282987	5066	998			0		3031	0	-1305	0	0	1726	0	0	0	0	0	0	0	0	0	-3436	0	
35646			296	36	0	0	264	4	0																						
35879			986	0	13	0	1036	63	0																						
36456			2318	40	14	0	2506	242	0																						
36933			2282	800	3	0	1580	101	0																						
37051			885	164	0	0	592	4	133																						
37341			956	120	32	0	878	74	0																						
37435			15109	57	674	0	15109	731	0																						
37640		0	37017	-6500	493	0	46859	3835	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37659			481	30	36	0	466	51	0			0	0																		
37949			2543	240	91	0	2212	0	0																						
38740			2092	-40	14	0	2153	35	0																						
39327			1998	125	100	0	1836	63	0																						
39756			6454	0	64	0	6806	416	0				0																		
40033			901	500	0	0	402	1	0																						
40499			45377	-7258	672	0	55395	3432	0				0																		
40855			1428	162	1	0	1266	1	0																						
41553			645	0	3	0	711	69	0																						
41629			2330	-283	325	0	2638	350	0																						
41825			6500	3079	552	0	7480	4611	0																						
41955			121	0	1	0	277	157	0																						
42037			533	50	18	0	574	109	0																						
42354			1442	212	1	0	1239	10	0																						
42372			2637	-203	157	0	2691	8	0																						
42420		0	92522	-377	4648	256	101309	12802	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-999	0	
42448			22868	3705	693	0	20060	1590	0			0	0																		
42457			600	-118	0	0	718	0	0																						
43052			1391	120	135	0	1137	1	0																						
43351			2355	1920	423	0	800	788	0																						
43856			487	86	0	0	401	0	0																						
43959			1034	180	47	0	890	83	0																						
44040			4842	40	25	0	4809	32	0																						
44433			6353	50	124	0	6200	21	0				0																		
44741			4364	-397	103	0	4709	51	0																						
44750			2037	-174	182	0	2037	8	0																						
44929			1105	80	4	0	1030	9	0				0																		
45038			1298	0	15	0	1283	0	0			0	0																		
45047			2558	203	104	0	2425	174	0																						
45056			457	0	7	0	450	0	0																						
45430			700	195	34	0	497	26	0																						
45458			2035	145	9	0	1898	17	0																						
45551			9846	-1400	244	0	11614	612	0																						
45560			15581	-210	115	0	16361	685	0				0																		
45775			909	0	107	0	802	0	0																						
46053			2760	271	144	0	2688	343	0																						
46941			1818	120	56	0	1680	38	0																						
47247			7235	1035	54	0	6394	248	0				0																		
47256			372	25	0	0	347	0	0																						
47452			1656	0	34	0	1628	6	0																						
47500			4291	-222	111	0	4567	165	0																						
48057			527	302	1	0	802	578	0																						
48150			226	12	2	0	215	3	0																						
48374			11606	905	222	0	12594	2115	0																						
48440			1530	0	39	0	1496	5	0																						
49054			2999	0	166	0	2931	98	0																						
49148			701	0	3	0	723	25	0																						
49241			9838	2005	1093	0	7892	1162	10																						
49652			2955	98	85	0	2772	0	0																						
49858			1325	27	357	0	941	0	0																						
49951			248	194	38	0	923	144	-763																						
50144			552	15	38	0	542	43	0																						
50461			4645	0	7	0	4638	0	0				0																		
51253			7813	0	200	0	8101	488	0			0	0																		
51356			308	0	24	0	298	14	0				0																		
51459			1518	7	15	0	1519	23	0																						
51842			18625	3000	2732	0	12893	0	0				0																		
52719			0	0	0	0	0	0	0			0	0																		
52951			4614	285	206	0	4815	692	0																						
53051			500	50	2	0	450	2	0																						
54058			8572	265	56	0	8377	126	0				0																		
54656			4371	500	237	0	3822	188	0			0	0																		
54973		0	71130	-26425	6054	0	101201	9700	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	
55336			3703	500	131	0	3376	304	0																						
55635			1202	5	115	0	1123	41	0																						
55653			962	0	30	0	946	14	0																						
55970			6867	-1095	103	0	7859	0	0																						
56258			2516	-410	0	0	2931	5	0																						
