"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	44	139	871	0	129	0	0	0	559	0	0	0	0	0	0	0	0	0				
242																				0	204	0	459	37	37	0	0	0	218	0	0	0	0	0	0	0	0	0				
279																				0	2037	540	9624	88	96	0	0	0	931	0	0	8	0	0	0	6020	0	0				
354																				0	20	0	154	0	66	0	0	0	68	0	0	0	0	0	0	0	0	0				
457																				0	460	0	1583	0	67	0	0	0	334	0	0	0	0	0	0	722	0	0				
505																				0	5236	627	17619	0	4663	1740	0	0	1721	0	0	0	0	0	0	5372	0	0	Pension Asset			
1155																				10	981	0	9379	264	430	68	19	0	1956	0	0	0	0	0	0	6012	0	0	TIF Bond	Bond Receivable		
1351																				0	224	0	1877	177	215	0	0	0	1438	0	0	0	0	0	0	0	0	0				
1454																				0	1394	0	14924	1419	2352	757	0	0	3162	0	0	0	0	0	0	8016	0	0	PROCESSING DEPOSIT			
1669																				7	209	818	16990	726	733	0	0	0	1895	0	0	0	0	0	0	12436	0	899				
1856																				0	284	0	682	113	161	0	0	0	237	0	0	0	0	0	0	0	0	0	0			
2161																				0	908	714	12479	990	1551	0	0	561	1174	0	0	0	0	0	0	8132	0	0			Investments/ Partnerships	
