"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	OTHER LIABILITIES, TOTAL	DIVIDENDS DECLARED BUT NOT YET PAYAB	ALL OTHER LIABILITIES	NET DEFERRED TAX LIABILITIES	ACCOUNTS PAYABLE	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	INTEREST ACCRUED & UNPAID ON DEPS	OTHER EXPENSES ACCRUED & UNPAID	ALL0WANCE FOR CREDIT LOSSES OFF B/S	DEFERRED COMPENSATION LIABILITIES	DERIVATATIVES W/NEGATIVE FAIR VALUE	Operating lease liabilitie	1ST ITM AMT FOR OTH LB OV25% OF 2930	2ND ITM AMT FOR OTH LB OV25% OF 2930	3RD ITM AMT FOR OTH LB OV25% OF 2930	
37														34	0	3	0	0	0	0	0	22	9	0	0	0	0				
242														20	0	0	0	0	0	0	0	20	0	0	0	0	0				
279														2211	0	1576	0	80	34	376	0	79	556	0	518	0	471	I Pay Bill Payable	ATM/Debit Card Payable		
354														92	0	7	9	0	0	0	0	3	73	0	0	0	0				
457														214	0	0	0	0	0	0	0	14	200	0	0	0	0				
505														10269	0	4357	1122	0	1939	0	0	45	4652	93	0	0	0	Deferred Service Fees FCC			
1155														2594	0	1698	0	56	252	16	0	58	838	0	1374	0	0	Reserve for RBA	Reserve for Carryover Vacation		
1351														353	0	86	0	0	0	0	0	208	59	0	0	0	0				
1454														3879	0	3089	0	0	878	0	0	38	752	0	1774	0	0	DEBIT CARD SETTLEMENT			
1669														521	0	434	0	0	0	0	0	87	0	0	139	0	0				
1856														66	0	40	0	0	0	0	0	15	11	0	0	0	0				
2161														2709	0	1901	0	0	0	0	0	14	794	0	1901	0	0				
2732														1002	0	205	0	0	0	0	0	240	557	0	0	0	0				
