"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDB556	RCFDC010	RCFDFT33	RCFDFT34	RCFDFT35	RCFDHT80	RCFDJ448	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONB556	RCONC010	RCONFT33	RCONFT34	RCONFT35	RCONHT80	RCONJ448	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	COMPUTER SOFTWARE	ACCOUNTS RECEIVABLE	RECEIVABLES FROM FORECLOSED GOVERNME	Other Assets, Interest-only strips r	FDIC LOSS-SHARING INDEMINIFICATION A	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																				0	43	0	714	0	106	0	0	0	565	0	0	0	0	0	0	0	0	0				
242																				0	204	0	429	0	7	0	0	0	218	0	0	0	0	0	0	0	0	0				
279																				0	2031	314	9168	81	90	0	0	0	771	0	0	0	0	0	0	5962	0	0				
354																				0	21	0	118	10	48	0	0	0	49	0	0	38	0	0	0	0	0	0				
457																				0	478	0	1528	0	0	0	0	0	337	0	0	0	0	0	0	713	0	0				
505																				0	5395	1216	17476	0	3797	963	0	0	1766	0	0	0	0	0	0	5302	0	0	NYSBA RETIREMENT			
1155																				0	361	0	7692	274	341	0	0	0	1054	0	0	0	0	0	0	5936	0	0				
1351																				0	224	0	2054	135	186	0	0	0	1644	0	0	0	0	0	0	0	0	0				
1454																				0	1394	0	15347	1792	2679	757	0	0	3364	0	0	0	0	0	0	7910	0	0	PROCESSING DEPOSIT			
1669																				0	209	710	16395	721	736	0	0	0	1582	0	0	0	0	0	0	12264	0	894				
1856																				0	433	0	828	139	189	0	0	0	206	0	0	0	0	0	0	0	0	0	0			
2161																				0	622	714	11433	140	677	0	0	537	1398	0	0	0	0	0	0	8022	0	0			Investment/ Partnership	
2732																				0	1014	987	4686	0	1049	803	0	0	1636	0	0	0	0	0	0	0	0	0	Fed Inc Tax Current Rec			
2750																				0	204	0	2663	211	211	0	0	0	552	0	0	0	0	0	0	1696	0	0				
3252																				0	668	0	3831	395	640	239	0	0	2523	0	0	0	0	0	0	0	0	0	Non Post DDA Debits			
3458																				0	400	0	2132	0	123	0	0	0	577	0	0	0	0	0	0	1032	0	0				
3720																				0	283	538	11557	355	396	0	0	0	904	0	0	0	0	0	0	6618	0	2818				
